DIRECTORIO;SECUENCIA_P;ORDEN;P6074;P6075;P6076;P6076S1;P6095;mes;fex_c_2011
2883104;1;1;1; ; ; ; ;02;511,119613310747
2883104;1;2;1; ; ; ; ;02;511,119613310747
2883104;1;3;1; ; ; ; ;02;511,119613310747
2883104;1;4;1; ; ; ; ;02;511,119613310747
2883105;1;1;2;6; ; ; ;02;402,970531828114
2883105;1;2;1; ; ; ; ;02;402,970531828114
2883105;1;3;1; ; ; ; ;02;402,970531828114
2883105;1;4;1; ; ; ; ;02;402,970531828114
2883107;1;1;1; ; ; ; ;02;179,768646830815
2883107;1;2;2;4;2;11;1;02;179,768646830815
2883107;1;3;2;6; ; ; ;02;179,768646830815
2883108;1;1;1; ; ; ; ;02;481,721068305242
2883108;1;2;1; ; ; ; ;02;481,721068305242
2883108;1;3;1; ; ; ; ;02;481,721068305242
2883109;1;1;2;6; ; ; ;02;335,556036652347
2883109;1;2;2;6; ; ; ;02;335,556036652347
2883109;1;3;2;6; ; ; ;02;335,556036652347
2883109;1;4;1; ; ; ; ;02;335,556036652347
2883110;1;1;2;6; ; ; ;02;505,463477057252
2883110;1;2;2;6; ; ; ;02;505,463477057252
2883110;1;3;1; ; ; ; ;02;505,463477057252
2883111;1;1;1; ; ; ; ;02;525,932858421342
2883112;1;1;2;6; ; ; ;02;234,867415251931
2883112;1;2;1; ; ; ; ;02;234,867415251931
2883112;1;3;1; ; ; ; ;02;234,867415251931
2883112;1;4;1; ; ; ; ;02;234,867415251931
2883112;1;5;1; ; ; ; ;02;234,867415251931
2883113;1;1;2;6; ; ; ;02;207,478384814747
2883113;1;2;2;6; ; ; ;02;207,478384814747
2883114;1;1;1; ; ; ; ;02;158,506984430837
2883114;1;2;1; ; ; ; ;02;158,506984430837
2883114;1;3;1; ; ; ; ;02;158,506984430837
2883114;1;4;1; ; ; ; ;02;158,506984430837
2883115;1;1;2;2;2;73;1;02;262,966429210671
2883117;1;1;2;4;2;11;1;02;280,053647225525
2883117;1;2;2;3;2;11;1;02;280,053647225525
2883118;1;1;1; ; ; ; ;02;261,208331244141
2883118;1;2;1; ; ; ; ;02;261,208331244141
2883118;1;3;1; ; ; ; ;02;261,208331244141
2883120;1;1;2;6; ; ; ;02;198,479930228376
2883121;1;1;2;6; ; ; ;02;207,478384814747
2883121;1;2;2;6; ; ; ;02;207,478384814747
2883122;1;1;1; ; ; ; ;02;74,1989208699739
2883122;1;2;2;6; ; ; ;02;74,1989208699739
2883122;1;3;1; ; ; ; ;02;74,1989208699739
2883122;1;4;2;6; ; ; ;02;74,1989208699739
2883122;1;5;2;5;2;86;1;02;74,1989208699739
2883123;1;1;2;5;2;18;2;02;83,1955040338566
2883123;1;2;2;5;2;18;2;02;83,1955040338566
2883123;1;3;2;5;2;18;2;02;83,1955040338566
2883123;1;4;1; ; ; ; ;02;83,1955040338566
2883124;1;1;2;5;2;18;1;02;62,8692744056084
2883125;1;1;2;1;2;66;1;02;35,0929332836725
2883125;1;2;2;1;2;66;1;02;35,0929332836725
2883125;1;3;2;1;2;66;1;02;35,0929332836725
2883126;1;1;2;6; ; ; ;02;67,4391228722015
2883126;1;2;2;6; ; ; ;02;67,4391228722015
2883127;1;1;1; ; ; ; ;02;46,6574019076461
2883127;1;2;1; ; ; ; ;02;46,6574019076461
2883128;1;1;1; ; ; ; ;02;52,9185885658757
2883128;1;2;1; ; ; ; ;02;52,9185885658757
2883128;1;3;1; ; ; ; ;02;52,9185885658757
2883129;1;1;2;3;2;41;1;02;49,1583872661622
2883130;1;1;1; ; ; ; ;02;63,828936784808
2883130;1;2;1; ; ; ; ;02;63,828936784808
2883130;1;3;1; ; ; ; ;02;63,828936784808
2883130;1;4;1; ; ; ; ;02;63,828936784808
2883131;1;1;1; ; ; ; ;02;49,1583872661622
2883131;1;2;1; ; ; ; ;02;49,1583872661622
2883131;1;3;1; ; ; ; ;02;49,1583872661622
2883132;1;1;2;5;2;41;1;02;82,7404237100205
2883132;1;2;2;6; ; ; ;02;82,7404237100205
2883132;1;3;2;1;2;63;1;02;82,7404237100205
2883133;1;1;1; ; ; ; ;02;42,8577495671133
2883134;1;1;1; ; ; ; ;02;62,7554890957506
2883135;1;1;2;6; ; ; ;02;45,1537722824349
2883135;1;2;2;6; ; ; ;02;45,1537722824349
2883135;1;3;2;6; ; ; ;02;45,1537722824349
2883135;1;4;1; ; ; ; ;02;45,1537722824349
2883135;1;5;1; ; ; ; ;02;45,1537722824349
2883136;1;1;1; ; ; ; ;02;45,0798490258674
2883136;1;2;2;6; ; ; ;02;45,0798490258674
2883137;1;1;1; ; ; ; ;02;75,2039391556423
2883138;1;1;1; ; ; ; ;02;75,2039391556423
2883139;1;1;1; ; ; ; ;02;29,4779183776089
2883139;1;2;1; ; ; ; ;02;29,4779183776089
2883139;1;3;1; ; ; ; ;02;29,4779183776089
2883139;1;4;1; ; ; ; ;02;29,4779183776089
2883140;1;1;2;6; ; ; ;02;67,6285891253408
2883140;1;2;2;6; ; ; ;02;67,6285891253408
2883140;1;3;2;6; ; ; ;02;67,6285891253408
2883140;1;4;2;6; ; ; ;02;67,6285891253408
2883140;1;5;2;6; ; ; ;02;67,6285891253408
2883140;1;6;2;6; ; ; ;02;67,6285891253408
2883141;1;1;2;2;2;41;2;02;60,6467639343832
2883142;1;1;1; ; ; ; ;02;48,9534246229677
2883142;1;2;2;6; ; ; ;02;48,9534246229677
2883142;1;3;1; ; ; ; ;02;48,9534246229677
2883142;1;4;1; ; ; ; ;02;48,9534246229677
2883142;1;5;1; ; ; ; ;02;48,9534246229677
2883142;1;6;1; ; ; ; ;02;48,9534246229677
2883143;1;1;1; ; ; ; ;02;84,7730569156353
2883143;1;2;1; ; ; ; ;02;84,7730569156353
2883144;1;1;2;4;2;11;1;02;66,9840425483654
2883144;1;2;2;5;2;11;1;02;66,9840425483654
2883145;1;1;2;4;2;18;1;02;41,2801966853346
2883146;1;1;2;1;2;11;1;02;67,4391228722015
2883146;1;2;2;1;2;11;1;02;67,4391228722015
2883147;1;1;2;1;2;76;1;02;48,6601755968472
2883147;1;2;2;1;2;76;1;02;48,6601755968472
2883147;1;3;2;1;2;76;1;02;48,6601755968472
2883148;1;1;2;6; ; ; ;02;86,9955673868605
2883148;1;2;1; ; ; ; ;02;86,9955673868605
2883149;1;1;1; ; ; ; ;02;104,42487110859
2883149;1;2;1; ; ; ; ;02;104,42487110859
2883149;1;3;1; ; ; ; ;02;104,42487110859
2883149;1;4;1; ; ; ; ;02;104,42487110859
2883149;1;5;1; ; ; ; ;02;104,42487110859
2883149;1;7;1; ; ; ; ;02;104,42487110859
2883150;1;1;1; ; ; ; ;02;116,726702038365
2883150;1;2;1; ; ; ; ;02;116,726702038365
2883150;1;3;1; ; ; ; ;02;116,726702038365
2883150;1;4;1; ; ; ; ;02;116,726702038365
2883150;1;5;1; ; ; ; ;02;116,726702038365
2883151;1;1;1; ; ; ; ;02;55,2463072042183
2883151;1;2;1; ; ; ; ;02;55,2463072042183
2883151;1;3;1; ; ; ; ;02;55,2463072042183
2883151;1;4;1; ; ; ; ;02;55,2463072042183
2883151;1;5;1; ; ; ; ;02;55,2463072042183
2883151;1;7;2;6; ; ; ;02;55,2463072042183
2883152;1;1;1; ; ; ; ;02;107,684043105017
2883152;1;2;1; ; ; ; ;02;107,684043105017
2883153;1;1;2;5;2;15;2;02;103,604143461441
2883154;1;1;1; ; ; ; ;02;94,5261585171221
2883154;1;2;1; ; ; ; ;02;94,5261585171221
2883154;1;3;1; ; ; ; ;02;94,5261585171221
2883154;1;4;1; ; ; ; ;02;94,5261585171221
2883154;1;5;1; ; ; ; ;02;94,5261585171221
2883155;1;1;1; ; ; ; ;02;119,387819561768
2883155;1;2;1; ; ; ; ;02;119,387819561768
2883155;1;3;1; ; ; ; ;02;119,387819561768
2883155;1;4;1; ; ; ; ;02;119,387819561768
2883156;1;1;1; ; ; ; ;02;69,5014019746292
2883156;1;2;2;2;2;50;1;02;69,5014019746292
2883156;1;3;2;2;2;50;1;02;69,5014019746292
2883157;1;1;1; ; ; ; ;02;65,7950369502612
2883157;1;2;1; ; ; ; ;02;65,7950369502612
2883158;1;1;1; ; ; ; ;02;122,372957813993
2883158;1;2;1; ; ; ; ;02;122,372957813993
2883158;1;3;1; ; ; ; ;02;122,372957813993
2883158;1;4;1; ; ; ; ;02;122,372957813993
2883158;1;5;1; ; ; ; ;02;122,372957813993
2883159;1;1;1; ; ; ; ;02;98,7772817264093
2883159;1;2;1; ; ; ; ;02;98,7772817264093
2883159;1;3;1; ; ; ; ;02;98,7772817264093
2883159;1;4;1; ; ; ; ;02;98,7772817264093
2883160;1;1;1; ; ; ; ;02;128,963219067494
2883160;1;2;2;4;2;11;1;02;128,963219067494
2883160;1;3;1; ; ; ; ;02;128,963219067494
2883161;1;1;1; ; ; ; ;02;103,991051170025
2883162;1;1;1; ; ; ; ;02;67,9230282300352
2883162;1;2;1; ; ; ; ;02;67,9230282300352
2883162;1;3;1; ; ; ; ;02;67,9230282300352
2883162;1;4;1; ; ; ; ;02;67,9230282300352
2883163;1;1;1; ; ; ; ;02;86,9661166190099
2883163;1;2;1; ; ; ; ;02;86,9661166190099
2883163;1;3;1; ; ; ; ;02;86,9661166190099
2883163;1;4;1; ; ; ; ;02;86,9661166190099
2883163;1;5;1; ; ; ; ;02;86,9661166190099
2883163;1;6;1; ; ; ; ;02;86,9661166190099
2883163;1;7;1; ; ; ; ;02;86,9661166190099
2883164;1;1;1; ; ; ; ;02;98,7772817264093
2883164;1;2;1; ; ; ; ;02;98,7772817264093
2883164;1;3;1; ; ; ; ;02;98,7772817264093
2883165;1;1;1; ; ; ; ;02;83,2459493864788
2883166;1;1;1; ; ; ; ;02;98,7772817264093
2883166;1;2;1; ; ; ; ;02;98,7772817264093
2883166;1;3;1; ; ; ; ;02;98,7772817264093
2883167;1;1;2;6; ; ; ;02;151,267539756334
2883167;1;2;2;6; ; ; ;02;151,267539756334
2883167;1;3;2;6; ; ; ;02;151,267539756334
2883167;1;4;1; ; ; ; ;02;151,267539756334
2883168;1;1;1; ; ; ; ;02;147,676913808366
2883169;1;1;2;6; ; ; ;02;165,374325448165
2883169;1;2;2;6; ; ; ;02;165,374325448165
2883169;1;3;1; ; ; ; ;02;165,374325448165
2883169;1;4;2;6; ; ; ;02;165,374325448165
2883169;1;5;1; ; ; ; ;02;165,374325448165
2883170;1;1;1; ; ; ; ;02;167,537613226254
2883170;1;2;2;5;2;47;1;02;167,537613226254
2883171;1;1;1; ; ; ; ;02;97,171548072101
2883171;1;2;1; ; ; ; ;02;97,171548072101
2883171;1;3;2;6; ; ; ;02;97,171548072101
2883171;1;4;1; ; ; ; ;02;97,171548072101
2883171;1;5;1; ; ; ; ;02;97,171548072101
2883172;1;1;2;6; ; ; ;02;165,374325448165
2883172;1;2;1; ; ; ; ;02;165,374325448165
2883172;1;3;2;6; ; ; ;02;165,374325448165
2883173;1;1;1; ; ; ; ;02;156,218715084735
2883173;1;2;1; ; ; ; ;02;156,218715084735
2883173;1;3;1; ; ; ; ;02;156,218715084735
2883174;1;1;1; ; ; ; ;02;170,388966486783
2883174;1;2;1; ; ; ; ;02;170,388966486783
2883175;1;1;1; ; ; ; ;02;149,560056013659
2883175;1;2;1; ; ; ; ;02;149,560056013659
2883175;1;3;1; ; ; ; ;02;149,560056013659
2883175;1;4;1; ; ; ; ;02;149,560056013659
2883176;1;1;2;1;1; ; ;02;146,692902920812
2883176;1;2;1; ; ; ; ;02;146,692902920812
2883177;1;1;1; ; ; ; ;02;98,5708306125012
2883177;1;2;2;6; ; ; ;02;98,5708306125012
2883177;1;3;1; ; ; ; ;02;98,5708306125012
2883178;1;1;2;1;2;54;1;02;147,676913808366
2883179;1;1;2;6; ; ; ;02;140,034243849736
2883179;1;2;1; ; ; ; ;02;140,034243849736
2883179;1;3;1; ; ; ; ;02;140,034243849736
2883180;1;1;2;6; ; ; ;02;104,615409338793
2883180;1;2;2;6; ; ; ;02;104,615409338793
2883181;1;1;2;6; ; ; ;02;132,892582061534
2883181;1;2;2;6; ; ; ;02;132,892582061534
2883182;1;1;1; ; ; ; ;02;165,955457455095
2883182;1;2;1; ; ; ; ;02;165,955457455095
2883182;1;3;1; ; ; ; ;02;165,955457455095
2883182;1;4;1; ; ; ; ;02;165,955457455095
2883182;1;5;1; ; ; ; ;02;165,955457455095
2883182;1;6;1; ; ; ; ;02;165,955457455095
2883182;1;7;1; ; ; ; ;02;165,955457455095
2883182;1;8;1; ; ; ; ;02;165,955457455095
2883183;1;1;1; ; ; ; ;02;154,91656925751
2883183;1;2;1; ; ; ; ;02;154,91656925751
2883183;1;3;1; ; ; ; ;02;154,91656925751
2883183;1;4;1; ; ; ; ;02;154,91656925751
2883184;1;1;1; ; ; ; ;02;129,329290424139
2883184;1;2;1; ; ; ; ;02;129,329290424139
2883185;1;1;1; ; ; ; ;02;119,399741085625
2883186;1;1;1; ; ; ; ;02;158,700002173632
2883186;1;2;1; ; ; ; ;02;158,700002173632
2883187;1;1;1; ; ; ; ;02;144,211615831914
2883187;1;2;1; ; ; ; ;02;144,211615831914
2883188;1;1;1; ; ; ; ;02;156,218715084735
2883188;1;2;1; ; ; ; ;02;156,218715084735
2883188;1;3;1; ; ; ; ;02;156,218715084735
2883189;1;1;2;6; ; ; ;02;104,615409338793
2883189;1;2;1; ; ; ; ;02;104,615409338793
2883190;1;1;1; ; ; ; ;02;142,048328053826
2883190;1;2;1; ; ; ; ;02;142,048328053826
2883190;1;3;1; ; ; ; ;02;142,048328053826
2883190;1;4;2;5;2;20;1;02;142,048328053826
2883191;1;1;1; ; ; ; ;02;172,272108692076
2883191;1;2;1; ; ; ; ;02;172,272108692076
2883191;1;3;1; ; ; ; ;02;172,272108692076
2883191;1;4;1; ; ; ; ;02;172,272108692076
2883191;1;5;1; ; ; ; ;02;172,272108692076
2883192;1;1;2;5;2;08;1;02;135,987949495215
2883194;1;1;2;5;2;44;1;02;104,615409338793
2883194;1;2;2;5;2;44;1;02;104,615409338793
2883195;1;1;1; ; ; ; ;02;269,614559792332
2883195;1;2;1; ; ; ; ;02;269,614559792332
2883195;1;3;1; ; ; ; ;02;269,614559792332
2883195;1;4;1; ; ; ; ;02;269,614559792332
2883195;2;1;2;6; ; ; ;02;269,614559792332
2883195;2;2;1; ; ; ; ;02;269,614559792332
2883195;2;3;1; ; ; ; ;02;269,614559792332
2883195;2;4;1; ; ; ; ;02;269,614559792332
2883195;2;6;1; ; ; ; ;02;269,614559792332
2883195;2;7;1; ; ; ; ;02;269,614559792332
2883196;1;1;2;6; ; ; ;02;198,479930228376
2883197;1;1;2;6; ; ; ;02;198,479930228376
2883198;1;1;2;6; ; ; ;02;219,094345799767
