DIRECTORIO;SECUENCIA_P;ORDEN;P6074;P6075;P6076;P6076S1;P6095;mes;fex_c_2011
2945756;1;1;1; ; ; ; ;05;93,8164417027268
2945756;1;2;1; ; ; ; ;05;93,8164417027268
2945756;1;3;1; ; ; ; ;05;93,8164417027268
2945756;1;4;1; ; ; ; ;05;93,8164417027268
2945756;1;5;1; ; ; ; ;05;93,8164417027268
2945757;1;1;1; ; ; ; ;05;114,21981606516
2945757;1;2;1; ; ; ; ;05;114,21981606516
2945757;1;3;1; ; ; ; ;05;114,21981606516
2945758;1;1;1; ; ; ; ;05;110,208830857394
2945758;1;2;1; ; ; ; ;05;110,208830857394
2945758;1;3;1; ; ; ; ;05;110,208830857394
2945759;1;1;2;2;2;11;1;05;59,1213625566792
2945759;1;2;2;2;2;11;1;05;59,1213625566792
2945759;1;3;2;3;2;11;1;05;59,1213625566792
2945759;1;4;2;2;2;11;1;05;59,1213625566792
2945759;1;5;2;2;2;11;2;05;59,1213625566792
2945760;1;1;2;6; ; ; ;05;83,1419337865395
2945760;1;2;2;6; ; ; ;05;83,1419337865395
2945760;1;3;2;6; ; ; ;05;83,1419337865395
2945760;1;4;2;6; ; ; ;05;83,1419337865395
2945761;1;1;2;6; ; ; ;05;78,7325830836564
2945762;1;1;1; ; ; ; ;05;73,0511457192522
2945762;1;2;1; ; ; ; ;05;73,0511457192522
2945762;1;3;1; ; ; ; ;05;73,0511457192522
2945762;2;1;1; ; ; ; ;05;73,0511457192522
2945762;2;2;1; ; ; ; ;05;73,0511457192522
2945763;1;1;2;6; ; ; ;05;54,3622223403124
2945763;1;2;1; ; ; ; ;05;54,3622223403124
2945764;1;1;1; ; ; ; ;05;50,559867087937
2945764;1;2;1; ; ; ; ;05;50,559867087937
2945764;1;3;1; ; ; ; ;05;50,559867087937
2945764;1;4;1; ; ; ; ;05;50,559867087937
2945764;1;5;1; ; ; ; ;05;50,559867087937
2945764;1;6;1; ; ; ; ;05;50,559867087937
2945764;1;7;1; ; ; ; ;05;50,559867087937
2945765;1;1;1; ; ; ; ;05;68,5708638938682
2945766;1;1;1; ; ; ; ;05;100,068614144265
2945766;1;2;1; ; ; ; ;05;100,068614144265
2945766;1;3;1; ; ; ; ;05;100,068614144265
2945767;1;1;2;6; ; ; ;05;100,956620012711
2945767;1;2;1; ; ; ; ;05;100,956620012711
2945768;1;1;2;6; ; ; ;05;81,8340599463169
2945768;1;2;1; ; ; ; ;05;81,8340599463169
2945769;1;1;2;3;2;15;1;05;42,7649105580134
2945769;1;2;2;6; ; ; ;05;42,7649105580134
2945769;1;3;2;6; ; ; ;05;42,7649105580134
2945769;1;4;1; ; ; ; ;05;42,7649105580134
2945769;1;5;2;1;2;11;1;05;42,7649105580134
2945769;1;6;2;4;2;15;2;05;42,7649105580134
2945770;1;1;1; ; ; ; ;05;88,8105823480114
2945770;1;2;1; ; ; ; ;05;88,8105823480114
2945770;1;3;1; ; ; ; ;05;88,8105823480114
2945770;1;4;1; ; ; ; ;05;88,8105823480114
2945770;1;5;2;6; ; ; ;05;88,8105823480114
2945770;1;6;2;6; ; ; ;05;88,8105823480114
2945771;1;1;2;6; ; ; ;05;95,0906809587336
2945771;1;2;2;6; ; ; ;05;95,0906809587336
2945771;1;3;2;6; ; ; ;05;95,0906809587336
2945771;1;4;2;6; ; ; ;05;95,0906809587336
2945772;1;1;1; ; ; ; ;05;111,341568901289
2945773;1;1;2;6; ; ; ;05;107,685274525963
2945773;1;2;2;6; ; ; ;05;107,685274525963
2945773;1;3;2;6; ; ; ;05;107,685274525963
2945774;1;1;2;2;2;23;1;05;145,612434475142
2945774;1;2;2;2;2;23;1;05;145,612434475142
2945775;1;1;2;5;2;44;1;05;135,598121270783
2945775;1;2;1; ; ; ; ;05;135,598121270783
2945776;1;1;1; ; ; ; ;05;102,501527978852
2945776;1;2;2;2;2;13;1;05;102,501527978852
2945776;1;3;1; ; ; ; ;05;102,501527978852
2945776;1;4;1; ; ; ; ;05;102,501527978852
2945777;1;1;2;6; ; ; ;05;140,937757924157
2945777;1;2;1; ; ; ; ;05;140,937757924157
2945777;2;1;1; ; ; ; ;05;140,937757924157
2945777;2;2;1; ; ; ; ;05;140,937757924157
2945778;1;1;1; ; ; ; ;05;116,207158617389
2945778;1;2;1; ; ; ; ;05;116,207158617389
2945779;1;1;2;6; ; ; ;05;111,529160728476
2945779;1;2;2;6; ; ; ;05;111,529160728476
2945779;1;3;1; ; ; ; ;05;111,529160728476
2945779;1;4;1; ; ; ; ;05;111,529160728476
2945779;1;5;1; ; ; ; ;05;111,529160728476
2945779;1;6;1; ; ; ; ;05;111,529160728476
2945780;1;1;1; ; ; ; ;05;108,911276371471
2945780;1;2;1; ; ; ; ;05;108,911276371471
2945781;1;1;1; ; ; ; ;05;108,280763919291
2945781;1;2;1; ; ; ; ;05;108,280763919291
2945782;1;1;2;6; ; ; ;05;105,847150051545
2945782;1;2;1; ; ; ; ;05;105,847150051545
2945782;1;3;1; ; ; ; ;05;105,847150051545
2945784;1;1;2;6; ; ; ;05;222,634978467053
2945784;1;2;1; ; ; ; ;05;222,634978467053
2945785;1;1;1; ; ; ; ;05;154,531401777568
2945785;1;2;1; ; ; ; ;05;154,531401777568
2945785;1;3;1; ; ; ; ;05;154,531401777568
2945786;1;1;1; ; ; ; ;05;116,195050021116
2945787;1;1;2;5;2;68;1;05;124,625111782186
2945787;1;2;2;5;2;47;2;05;124,625111782186
2945787;1;3;1; ; ; ; ;05;124,625111782186
2945787;1;4;1; ; ; ; ;05;124,625111782186
2945788;1;1;1; ; ; ; ;05;108,907955033543
2945788;1;2;1; ; ; ; ;05;108,907955033543
2945789;1;1;2;6; ; ; ;05;132,710146594354
2945789;1;2;2;6; ; ; ;05;132,710146594354
2945789;1;3;2;6; ; ; ;05;132,710146594354
2945790;1;1;2;6; ; ; ;05;121,279489709492
2945790;1;2;2;6; ; ; ;05;121,279489709492
2945790;1;3;2;6; ; ; ;05;121,279489709492
2945790;1;4;1; ; ; ; ;05;121,279489709492
2945790;1;5;1; ; ; ; ;05;121,279489709492
2945790;1;6;1; ; ; ; ;05;121,279489709492
2945792;1;1;2;6; ; ; ;05;237,486351813663
2945792;1;2;1; ; ; ; ;05;237,486351813663
2945792;1;3;1; ; ; ; ;05;237,486351813663
2945792;1;4;1; ; ; ; ;05;237,486351813663
2945794;1;1;2;6; ; ; ;05;170,257851590353
2945794;1;2;2;6; ; ; ;05;170,257851590353
2945794;1;3;2;6; ; ; ;05;170,257851590353
2945795;1;1;2;6; ; ; ;05;231,655646183233
2945795;1;2;2;6; ; ; ;05;231,655646183233
2945796;1;1;2;2;2;85;1;05;260,506232224513
2945796;1;2;2;2;2;85;1;05;260,506232224513
2945797;1;1;2;6; ; ; ;05;253,900974929998
2945798;1;1;1; ; ; ; ;05;253,900974929998
2945799;1;1;2;6; ; ; ;05;42,9727162349084
2945799;1;2;1; ; ; ; ;05;42,9727162349084
2945799;1;3;1; ; ; ; ;05;42,9727162349084
2945799;1;4;1; ; ; ; ;05;42,9727162349084
2945800;1;1;2;6; ; ; ;05;58,4314692735973
2945801;1;1;1; ; ; ; ;05;44,0114713811429
2945801;1;2;1; ; ; ; ;05;44,0114713811429
2945801;1;3;1; ; ; ; ;05;44,0114713811429
2945801;1;5;1; ; ; ; ;05;44,0114713811429
2945801;1;6;2;1;2;18;2;05;44,0114713811429
2945802;1;1;2;6; ; ; ;05;59,691739677612
2945803;1;1;2;5;2;11;1;05;74,9437911610302
2945803;1;2;2;4;2;11;1;05;74,9437911610302
2945803;1;3;2;4;2;11;1;05;74,9437911610302
2945804;1;1;1; ; ; ; ;05;155,745883479742
2945804;1;2;1; ; ; ; ;05;155,745883479742
2945805;1;1;2;2;2;05;1;05;56,9451840353126
2945805;1;2;2;2;2;05;1;05;56,9451840353126
2945805;1;3;2;2;2;05;1;05;56,9451840353126
2945805;1;4;2;1;2;18;2;05;56,9451840353126
2945806;1;1;2;6; ; ; ;05;70,7813888735238
2945806;1;2;2;6; ; ; ;05;70,7813888735238
2945806;1;3;2;6; ; ; ;05;70,7813888735238
2945806;1;4;2;1;2;18;2;05;70,7813888735238
2945806;1;5;2;1;2;18;2;05;70,7813888735238
2945806;1;6;2;1;2;18;2;05;70,7813888735238
2945806;1;7;2;4;2;18;1;05;70,7813888735238
2945806;1;8;2;4;2;18;1;05;70,7813888735238
2945806;1;9;2;4;2;18;1;05;70,7813888735238
2945807;1;1;1; ; ; ; ;05;42,9727162349084
2945807;1;2;1; ; ; ; ;05;42,9727162349084
2945807;1;3;1; ; ; ; ;05;42,9727162349084
2945807;1;4;1; ; ; ; ;05;42,9727162349084
2945808;1;1;2;1;2;86;1;05;68,6060049003836
2945808;1;2;2;1;2;86;2;05;68,6060049003836
2945808;1;3;2;1;2;86;2;05;68,6060049003836
2945809;1;1;2;6; ; ; ;05;50,8729661915782
2945811;1;1;2;6; ; ; ;05;253,900974929998
2945812;1;1;2;6; ; ; ;05;229,321006202442
2945812;1;2;2;6; ; ; ;05;229,321006202442
2945812;1;3;2;6; ; ; ;05;229,321006202442
2945812;1;4;1; ; ; ; ;05;229,321006202442
2945813;1;1;2;6; ; ; ;05;208,123010356442
2945814;1;1;1; ; ; ; ;05;235,805012625698
2945814;1;2;1; ; ; ; ;05;235,805012625698
2945815;1;1;2;6; ; ; ;05;146,731310754933
2945815;1;2;2;2;2;70;1;05;146,731310754933
2945815;1;3;2;6; ; ; ;05;146,731310754933
2945815;1;4;2;6; ; ; ;05;146,731310754933
2945816;1;1;2;6; ; ; ;05;269,80931100915
2945816;1;2;2;6; ; ; ;05;269,80931100915
2945816;1;3;2;6; ; ; ;05;269,80931100915
2945817;1;1;2;6; ; ; ;05;50,8729661915782
2945818;1;1;2;6; ; ; ;05;61,0272195285989
2945819;1;1;2;6; ; ; ;05;50,9454224940518
2945819;1;2;2;6; ; ; ;05;50,9454224940518
2945819;1;3;2;6; ; ; ;05;50,9454224940518
2945820;1;1;1; ; ; ; ;05;20,696827541093
2945820;1;2;1; ; ; ; ;05;20,696827541093
2945820;1;3;1; ; ; ; ;05;20,696827541093
2945821;1;1;1; ; ; ; ;05;23,9056783920343
2945821;1;2;1; ; ; ; ;05;23,9056783920343
2945822;1;1;1; ; ; ; ;05;29,9775164644121
2945822;1;2;1; ; ; ; ;05;29,9775164644121
2945822;1;3;1; ; ; ; ;05;29,9775164644121
2945822;1;4;1; ; ; ; ;05;29,9775164644121
2945823;1;1;2;6; ; ; ;05;51,8145251552063
2945823;1;2;2;6; ; ; ;05;51,8145251552063
2945823;1;3;2;6; ; ; ;05;51,8145251552063
2945823;1;4;2;6; ; ; ;05;51,8145251552063
2945823;1;5;2;6; ; ; ;05;51,8145251552063
2945824;1;1;2;6; ; ; ;05;58,4314692735973
2945825;1;1;2;3;2;76;1;05;24,1662022154899
2945825;1;2;2;3;2;76;1;05;24,1662022154899
2945825;1;3;2;3;2;76;1;05;24,1662022154899
2945825;1;4;2;3;2;76;1;05;24,1662022154899
2945826;1;1;1; ; ; ; ;05;257,563834194061
2945826;1;2;1; ; ; ; ;05;257,563834194061
2945826;1;3;1; ; ; ; ;05;257,563834194061
2945827;1;1;1; ; ; ; ;05;226,650497131211
2945827;1;2;1; ; ; ; ;05;226,650497131211
2945827;1;3;1; ; ; ; ;05;226,650497131211
2945828;1;1;2;6; ; ; ;05;220,165169967746
2945828;1;2;2;6; ; ; ;05;220,165169967746
2945829;1;1;2;6; ; ; ;05;325,101739741303
2945829;1;2;1; ; ; ; ;05;325,101739741303
2945831;1;1;1; ; ; ; ;05;369,042258695019
2945831;1;2;1; ; ; ; ;05;369,042258695019
2945831;1;3;1; ; ; ; ;05;369,042258695019
2945831;1;4;1; ; ; ; ;05;369,042258695019
2945831;1;5;1; ; ; ; ;05;369,042258695019
2945831;1;7;1; ; ; ; ;05;369,042258695019
2945832;1;1;2;6; ; ; ;05;220,165169967746
2945832;1;2;2;6; ; ; ;05;220,165169967746
2945833;1;1;2;6; ; ; ;05;213,932664805638
2945833;1;2;2;6; ; ; ;05;213,932664805638
2945833;1;3;1; ; ; ; ;05;213,932664805638
2945833;1;4;2;6; ; ; ;05;213,932664805638
2945833;1;5;1; ; ; ; ;05;213,932664805638
2945834;1;1;1; ; ; ; ;05;220,165169967746
2945834;1;2;2;6; ; ; ;05;220,165169967746
2945835;1;1;1; ; ; ; ;05;213,679842804281
2945836;1;1;2;6; ; ; ;05;220,165169967746
2945836;1;2;1; ; ; ; ;05;220,165169967746
2945837;1;1;1; ; ; ; ;05;297,434606105634
2945837;1;2;1; ; ; ; ;05;297,434606105634
2945837;1;3;1; ; ; ; ;05;297,434606105634
2945837;1;4;1; ; ; ; ;05;297,434606105634
2945837;1;5;1; ; ; ; ;05;297,434606105634
2945839;1;1;2;1;2;17;2;05;257,563834194061
2945839;1;2;2;1;2;17;2;05;257,563834194061
2945839;1;3;2;1;2;17;2;05;257,563834194061
2945840;1;1;2;6; ; ; ;05;297,372540565579
2945840;1;2;2;6; ; ; ;05;297,372540565579
2945840;1;3;2;6; ; ; ;05;297,372540565579
2945840;1;4;2;6; ; ; ;05;297,372540565579
2945841;1;1;2;5;2;17;1;05;305,898580252264
2945841;1;2;2;5;2;17;1;05;305,898580252264
2945841;1;3;2;5;2;17;1;05;305,898580252264
2945842;1;1;1; ; ; ; ;05;220,165169967746
2945842;1;2;1; ; ; ; ;05;220,165169967746
2945843;1;1;2;5;2;50;1;05;202,902740760958
2945843;1;2;2;5;2;50;1;05;202,902740760958
2945843;1;3;2;2;2;66;1;05;202,902740760958
2945844;1;1;2;6; ; ; ;05;251,110283703334
2945844;1;2;2;6; ; ; ;05;251,110283703334
2945844;1;3;2;1;2;66;2;05;251,110283703334
2945845;1;1;2;6; ; ; ;05;305,898580252264
2945845;1;2;2;6; ; ; ;05;305,898580252264
2945845;1;3;2;6; ; ; ;05;305,898580252264
2945846;1;1;1; ; ; ; ;05;269,647897187736
2945846;1;2;1; ; ; ; ;05;269,647897187736
2945846;1;3;1; ; ; ; ;05;269,647897187736
2945846;1;4;1; ; ; ; ;05;269,647897187736
2945846;1;5;1; ; ; ; ;05;269,647897187736
2945847;1;1;1; ; ; ; ;05;383,381549497734
2945847;1;2;1; ; ; ; ;05;383,381549497734
2945847;1;3;1; ; ; ; ;05;383,381549497734
2945847;1;4;1; ; ; ; ;05;383,381549497734
2945847;1;5;1; ; ; ; ;05;383,381549497734
2945848;1;1;1; ; ; ; ;05;324,650709022487
2945848;1;2;1; ; ; ; ;05;324,650709022487
2945849;1;1;1; ; ; ; ;05;213,928109007757
2945849;1;2;1; ; ; ; ;05;213,928109007757
2945849;1;3;1; ; ; ; ;05;213,928109007757
2945849;1;4;1; ; ; ; ;05;213,928109007757
2945849;1;5;1; ; ; ; ;05;213,928109007757
2945849;1;6;2;6; ; ; ;05;213,928109007757
2945850;1;1;2;6; ; ; ;05;278,173936874421
2945850;1;2;2;6; ; ; ;05;278,173936874421
2945850;1;3;1; ; ; ; ;05;278,173936874421
2945850;1;4;1; ; ; ; ;05;278,173936874421
2945851;1;1;2;6; ; ; ;05;178,442954188835
2945851;1;2;2;6; ; ; ;05;178,442954188835
2945851;1;3;1; ; ; ; ;05;178,442954188835
2945852;1;1;1; ; ; ; ;05;178,442954188835
2945852;1;2;1; ; ; ; ;05;178,442954188835
2945852;1;3;1; ; ; ; ;05;178,442954188835
2945853;1;1;2;6; ; ; ;05;141,26533529114
2945853;1;2;2;6; ; ; ;05;141,26533529114
2945853;1;3;2;6; ; ; ;05;141,26533529114
2945853;1;4;2;6; ; ; ;05;141,26533529114
2945853;1;5;2;6; ; ; ;05;141,26533529114
2945854;1;1;1; ; ; ; ;05;220,165169967746
2945854;1;2;2;6; ; ; ;05;220,165169967746
2945855;1;1;2;6; ; ; ;05;89,6546762589967
2945855;1;2;1; ; ; ; ;05;89,6546762589967
2945855;1;3;1; ; ; ; ;05;89,6546762589967
2945855;1;4;1; ; ; ; ;05;89,6546762589967
2945855;1;5;1; ; ; ; ;05;89,6546762589967
