DIRECTORIO;SECUENCIA_P;ORDEN;P6074;P6075;P6076;P6076S1;P6095;mes;fex_c_2011
2924958;1;1;1; ; ; ; ;04;106,428861590086
2924958;1;2;1; ; ; ; ;04;106,428861590086
2924958;1;3;1; ; ; ; ;04;106,428861590086
2924958;1;4;1; ; ; ; ;04;106,428861590086
2924959;1;1;1; ; ; ; ;04;116,785415332717
2924959;1;2;1; ; ; ; ;04;116,785415332717
2924960;1;1;1; ; ; ; ;04;116,935354287914
2924960;1;2;1; ; ; ; ;04;116,935354287914
2924960;1;3;1; ; ; ; ;04;116,935354287914
2924961;1;1;1; ; ; ; ;04;116,935354287914
2924961;1;2;2;6; ; ; ;04;116,935354287914
2924961;1;3;1; ; ; ; ;04;116,935354287914
2924961;1;4;1; ; ; ; ;04;116,935354287914
2924962;1;1;1; ; ; ; ;04;98,2786452400219
2924963;1;1;2;6; ; ; ;04;62,7538030775896
2924963;2;1;1; ; ; ; ;04;62,7538030775896
2924963;3;1;2;6; ; ; ;04;62,7538030775896
2924965;1;1;2;6; ; ; ;04;72,782574899212
2924965;1;2;1; ; ; ; ;04;72,782574899212
2924965;1;3;2;6; ; ; ;04;72,782574899212
2924966;1;1;1; ; ; ; ;04;89,8677081923952
2924967;1;1;1; ; ; ; ;04;73,6377256538234
2924967;1;2;1; ; ; ; ;04;73,6377256538234
2924967;1;3;2;6; ; ; ;04;73,6377256538234
2924968;1;1;1; ; ; ; ;04;96,8670127555659
2924968;1;2;1; ; ; ; ;04;96,8670127555659
2924969;1;1;1; ; ; ; ;04;147,710110513385
2924969;1;2;1; ; ; ; ;04;147,710110513385
2924970;1;1;1; ; ; ; ;04;176,056103364274
2924970;1;2;1; ; ; ; ;04;176,056103364274
2924970;1;3;1; ; ; ; ;04;176,056103364274
2924971;1;1;2;2;2;17;1;04;176,670451371364
2924972;1;1;2;6; ; ; ;04;155,746718632984
2924973;1;1;2;2;2;76;1;04;177,048566750306
2924973;1;2;2;1;2;76;1;04;177,048566750306
2924974;1;1;1; ; ; ; ;04;137,036722893819
2924974;1;2;2;6; ; ; ;04;137,036722893819
2924974;1;3;1; ; ; ; ;04;137,036722893819
2924975;1;1;1; ; ; ; ;04;145,895489070386
2924975;1;2;1; ; ; ; ;04;145,895489070386
2924976;1;1;1; ; ; ; ;04;160,950454276805
2924977;1;1;1; ; ; ; ;04;147,710110513385
2924977;1;2;1; ; ; ; ;04;147,710110513385
2924979;1;1;1; ; ; ; ;04;172,64421935781
