DIRECTORIO;SECUENCIA_P;ORDEN;P6074;P6075;P6076;P6076S1;P6095;mes;fex_c_2011
3011102;1;1;2;6; ; ; ;08;162,562613634687
3011102;1;2;2;6; ; ; ;08;162,562613634687
3011103;1;1;2;6; ; ; ;08;125,760583573825
3011103;1;2;2;6; ; ; ;08;125,760583573825
3011103;1;3;2;6; ; ; ;08;125,760583573825
3011103;1;4;2;6; ; ; ;08;125,760583573825
3011104;1;1;2;6; ; ; ;08;157,923780926331
3011104;1;2;2;6; ; ; ;08;157,923780926331
3011105;1;1;2;6; ; ; ;08;166,97863144814
3011105;1;2;2;6; ; ; ;08;166,97863144814
3011105;1;3;2;5;1; ; ;08;166,97863144814
3011106;1;1;2;6; ; ; ;08;133,239018406873
3011106;1;2;1; ; ; ; ;08;133,239018406873
3011106;1;3;2;6; ; ; ;08;133,239018406873
3011107;1;1;2;1;2;41;2;08;145,608134480297
3011107;1;2;2;1;2;41;2;08;145,608134480297
3011107;1;3;2;2;2;41;2;08;145,608134480297
3011108;1;1;1; ; ; ; ;08;127,212863616338
3011109;1;1;2;6; ; ; ;08;135,934640246042
3011109;1;2;1; ; ; ; ;08;135,934640246042
3011109;1;3;1; ; ; ; ;08;135,934640246042
3011110;1;1;2;6; ; ; ;08;150,533559637951
3011110;1;2;2;6; ; ; ;08;150,533559637951
3011110;1;3;1; ; ; ; ;08;150,533559637951
3011110;1;4;1; ; ; ; ;08;150,533559637951
3011110;1;5;2;1;2;41;1;08;150,533559637951
3011111;1;1;2;4;2;41;1;08;126,612781754144
3011111;1;2;2;4;2;41;1;08;126,612781754144
3011111;1;3;2;4;2;41;1;08;126,612781754144
3011111;1;4;2;4;2;41;1;08;126,612781754144
3011111;1;5;2;4;2;41;1;08;126,612781754144
3011111;1;6;2;4;2;41;1;08;126,612781754144
3011112;1;1;1; ; ; ; ;08;131,636797344314
3011112;1;2;2;6; ; ; ;08;131,636797344314
3011112;1;3;2;4;2;86;1;08;131,636797344314
3011112;1;4;1; ; ; ; ;08;131,636797344314
3011113;1;1;2;2;2;11;1;08;147,131080541668
3011113;1;2;2;2;2;11;1;08;147,131080541668
3011114;1;1;2;1;2;25;1;08;153,507763112877
3011114;1;2;2;1;2;18;1;08;153,507763112877
3011114;1;3;2;1;2;18;1;08;153,507763112877
3011115;1;1;2;3;2;18;2;08;159,464180876271
3011116;1;1;2;6; ; ; ;08;163,243078459752
3011116;1;2;2;6; ; ; ;08;163,243078459752
3011116;1;3;2;6; ; ; ;08;163,243078459752
3011117;1;1;1; ; ; ; ;08;264,274532290069
3011117;1;2;2;6; ; ; ;08;264,274532290069
3011117;1;3;1; ; ; ; ;08;264,274532290069
3011118;1;1;2;3;2;50;1;08;301,067119275902
3011118;1;2;2;3;2;50;1;08;301,067119275902
3011118;1;3;2;3;2;50;1;08;301,067119275902
3011118;1;4;2;3;2;50;1;08;301,067119275902
3011121;1;1;2;6; ; ; ;08;361,754597140832
3011121;1;2;2;6; ; ; ;08;361,754597140832
3011121;1;3;1; ; ; ; ;08;361,754597140832
3011122;1;1;2;6; ; ; ;08;447,810168386653
3011122;1;2;2;4;2;11;1;08;447,810168386653
3011123;1;1;1; ; ; ; ;08;255,678130717179
3011123;1;2;2;6; ; ; ;08;255,678130717179
3011124;1;1;2;3;2;15;1;08;528,643020796772
3011124;1;2;2;3;2;15;1;08;528,643020796772
3011125;1;1;1; ; ; ; ;08;340,962299547234
3011126;1;1;2;6; ; ; ;08;89,9468568703422
3011126;1;2;2;6; ; ; ;08;89,9468568703422
3011126;1;3;2;4;2;73;1;08;89,9468568703422
3011126;1;4;2;4;2;73;1;08;89,9468568703422
3011126;1;5;2;4;2;73;1;08;89,9468568703422
3011127;1;1;1; ; ; ; ;08;134,418948091827
3011128;1;1;1; ; ; ; ;08;122,465233558856
3011128;1;2;2;6; ; ; ;08;122,465233558856
3011129;1;1;2;6; ; ; ;08;106,938269590625
3011129;1;2;2;6; ; ; ;08;106,938269590625
3011130;1;1;2;6; ; ; ;08;113,366182333023
3011130;1;2;2;3;2;63;2;08;113,366182333023
3011131;1;1;1; ; ; ; ;08;122,414279664453
3011131;1;2;1; ; ; ; ;08;122,414279664453
3011131;1;3;1; ; ; ; ;08;122,414279664453
3011132;1;1;1; ; ; ; ;08;98,688956417879
3011132;1;2;1; ; ; ; ;08;98,688956417879
3011133;1;1;2;6; ; ; ;08;106,938269590625
3011133;1;2;1; ; ; ; ;08;106,938269590625
3011134;1;1;2;6; ; ; ;08;130,631857874451
3011134;1;2;1; ; ; ; ;08;130,631857874451
3011134;1;3;1; ; ; ; ;08;130,631857874451
3011134;1;4;1; ; ; ; ;08;130,631857874451
3011135;1;1;2;4;2;63;1;08;92,8524740718829
3011135;1;2;2;4;2;63;1;08;92,8524740718829
3011135;1;3;2;4;2;63;1;08;92,8524740718829
3011136;1;1;2;6; ; ; ;08;206,98839842737
3011136;1;2;2;1;2;05;1;08;206,98839842737
3011136;1;3;2;6; ; ; ;08;206,98839842737
3011136;1;4;1; ; ; ; ;08;206,98839842737
3011136;1;5;1; ; ; ; ;08;206,98839842737
3011136;1;6;1; ; ; ; ;08;206,98839842737
3011136;1;7;1; ; ; ; ;08;206,98839842737
3011136;1;8;1; ; ; ; ;08;206,98839842737
3011136;1;9;2;1;2;05;1;08;206,98839842737
3011137;1;1;2;6; ; ; ;08;132,985538023654
3011137;1;2;2;6; ; ; ;08;132,985538023654
3011137;1;3;2;1;2;17;2;08;132,985538023654
3011137;1;4;2;1;2;63;1;08;132,985538023654
3011138;1;1;2;1;2;41;1;08;129,412288588394
3011138;1;2;2;6; ; ; ;08;129,412288588394
3011138;1;3;1; ; ; ; ;08;129,412288588394
3011139;1;1;2;6; ; ; ;08;122,984375845997
3011139;1;2;2;6; ; ; ;08;122,984375845997
3011139;1;3;2;6; ; ; ;08;122,984375845997
3011140;1;1;1; ; ; ; ;08;146,89677454531
3011141;1;1;2;6; ; ; ;08;114,378397856797
3011141;1;2;2;6; ; ; ;08;114,378397856797
3011141;1;3;2;6; ; ; ;08;114,378397856797
3011141;1;4;2;6; ; ; ;08;114,378397856797
3011142;1;1;2;6; ; ; ;08;113,366182333023
3011142;1;2;2;4;2;63;1;08;113,366182333023
3011143;1;1;1; ; ; ; ;08;76,8063678165113
3011143;1;2;1; ; ; ; ;08;76,8063678165113
3011144;1;1;2;1;2;63;1;08;116,78515108074
3011144;1;2;2;1;2;63;1;08;116,78515108074
3011145;1;1;2;6; ; ; ;08;130,424504112168
3011145;1;2;2;6; ; ; ;08;130,424504112168
3011145;1;3;1; ; ; ; ;08;130,424504112168
3011145;1;4;1; ; ; ; ;08;130,424504112168
3011145;1;5;1; ; ; ; ;08;130,424504112168
3011146;1;1;2;4;2;11;1;08;119,177007319078
3011146;1;2;2;6; ; ; ;08;119,177007319078
3011146;1;3;1; ; ; ; ;08;119,177007319078
3011146;1;4;1; ; ; ; ;08;119,177007319078
3011147;1;1;2;2;2;76;1;08;113,366182333023
3011147;1;2;1; ; ; ; ;08;113,366182333023
3011148;1;1;2;4;2;05;1;08;146,89677454531
3011149;1;1;2;6; ; ; ;08;100,369213592398
3011150;1;1;1; ; ; ; ;08;127,212889126734
3011150;1;2;2;6; ; ; ;08;127,212889126734
3011150;1;3;1; ; ; ; ;08;127,212889126734
3011151;1;1;1; ; ; ; ;08;100,369213592398
3011152;1;1;2;6; ; ; ;08;146,89677454531
3011153;1;1;2;3;2;17;1;08;143,258995382106
3011153;1;2;2;4;2;17;1;08;143,258995382106
3011153;1;3;2;3;2;17;1;08;143,258995382106
3011153;1;4;2;3;2;17;1;08;143,258995382106
3011154;1;1;1; ; ; ; ;08;112,420875868112
3011154;1;2;2;6; ; ; ;08;112,420875868112
3011154;1;3;1; ; ; ; ;08;112,420875868112
3011154;1;4;1; ; ; ; ;08;112,420875868112
3011154;1;6;1; ; ; ; ;08;112,420875868112
3011155;1;1;2;6; ; ; ;08;141,527011797137
3011155;1;2;2;1;2;63;1;08;141,527011797137
3011155;1;3;2;1;2;63;2;08;141,527011797137
3011155;1;4;2;1;2;63;2;08;141,527011797137
3011155;2;1;1; ; ; ; ;08;141,527011797137
3011155;2;3;2;1;2;76;2;08;141,527011797137
3011156;1;1;2;6; ; ; ;08;160,530748526341
3011156;1;2;2;6; ; ; ;08;160,530748526341
3011156;1;3;2;6; ; ; ;08;160,530748526341
