DIRECTORIO;SECUENCIA_P;ORDEN;P6074;P6075;P6076;P6076S1;P6095;mes;fex_c_2011
3031897;1;1;1; ; ; ; ;09;312,509529193341
3031897;1;2;2;6; ; ; ;09;312,509529193341
3031897;1;3;1; ; ; ; ;09;312,509529193341
3031898;1;1;1; ; ; ; ;09;304,984756257503
3031899;1;1;2;3;2;17;1;09;393,405090695086
3031899;1;2;2;3;2;17;1;09;393,405090695086
3031899;1;3;2;3;2;17;1;09;393,405090695086
3031900;1;1;2;6; ; ; ;09;130,848741873315
3031900;1;2;1; ; ; ; ;09;130,848741873315
3031900;1;3;1; ; ; ; ;09;130,848741873315
3031900;1;4;1; ; ; ; ;09;130,848741873315
3031900;1;5;2;2;2;73;2;09;130,848741873315
3031901;1;1;1; ; ; ; ;09;129,189032682382
3031901;1;2;2;6; ; ; ;09;129,189032682382
3031901;1;3;1; ; ; ; ;09;129,189032682382
3031902;1;1;1; ; ; ; ;09;359,511958115211
3031902;1;2;1; ; ; ; ;09;359,511958115211
3031902;1;3;1; ; ; ; ;09;359,511958115211
3031903;1;1;2;3;2;17;2;09;279,61281055048
3031904;1;1;2;6; ; ; ;09;317,677220667994
3031904;1;2;2;5;2;17;1;09;317,677220667994
3031904;1;3;2;5;2;17;1;09;317,677220667994
3031905;1;1;2;5;2;17;1;09;319,48664256416
3031905;1;2;2;5;2;17;1;09;319,48664256416
3031906;1;1;2;6; ; ; ;09;376,942298954892
3031906;1;2;2;1;2;17;1;09;376,942298954892
3031906;1;3;2;1;2;17;1;09;376,942298954892
3031907;1;1;1; ; ; ; ;09;301,925020183493
3031907;1;2;1; ; ; ; ;09;301,925020183493
3031908;1;1;1; ; ; ; ;09;210,848999880952
3031908;1;2;1; ; ; ; ;09;210,848999880952
3031908;1;3;2;6; ; ; ;09;210,848999880952
3031908;1;4;1; ; ; ; ;09;210,848999880952
3031908;1;5;1; ; ; ; ;09;210,848999880952
3031909;1;1;1; ; ; ; ;09;393,405090695086
3031909;1;2;2;6; ; ; ;09;393,405090695086
3031909;1;3;1; ; ; ; ;09;393,405090695086
3031910;1;1;2;6; ; ; ;09;180,452274039936
3031910;1;2;1; ; ; ; ;09;180,452274039936
3031910;1;3;1; ; ; ; ;09;180,452274039936
3031910;1;4;1; ; ; ; ;09;180,452274039936
3031910;1;5;2;1;2;76;1;09;180,452274039936
3031911;1;1;2;6; ; ; ;09;385,843961748494
3031911;1;2;1; ; ; ; ;09;385,843961748494
3031911;1;3;1; ; ; ; ;09;385,843961748494
3031911;1;4;1; ; ; ; ;09;385,843961748494
3031911;1;5;1; ; ; ; ;09;385,843961748494
3031912;1;1;2;3;2;17;2;09;179,755979057605
3031912;1;2;1; ; ; ; ;09;179,755979057605
3031913;1;1;2;6; ; ; ;09;317,677220667994
3031913;1;2;2;6; ; ; ;09;317,677220667994
3031913;1;3;1; ; ; ; ;09;317,677220667994
3031914;1;1;1; ; ; ; ;09;147,040309920402
3031914;1;2;1; ; ; ; ;09;147,040309920402
3031914;1;3;1; ; ; ; ;09;147,040309920402
3031915;1;1;2;6; ; ; ;09;154,435241702313
3031915;1;2;1; ; ; ; ;09;154,435241702313
3031915;1;3;1; ; ; ; ;09;154,435241702313
3031915;1;4;1; ; ; ; ;09;154,435241702313
3031916;1;1;2;5;2;17;1;09;356,874266151512
3031916;1;2;2;5;2;17;1;09;356,874266151512
3031917;1;1;1; ; ; ; ;09;168,957775958348
3031917;1;2;1; ; ; ; ;09;168,957775958348
3031918;1;1;2;3;2;17;1;09;199,879132824884
3031919;1;1;2;3;2;17;1;09;139,80640527524
3031920;1;1;1; ; ; ; ;09;139,80640527524
3031921;1;1;2;6; ; ; ;09;161,8289600509
3031921;1;2;2;6; ; ; ;09;161,8289600509
3031921;1;3;2;6; ; ; ;09;161,8289600509
3031922;1;1;1; ; ; ; ;09;161,8289600509
3031922;1;2;1; ; ; ; ;09;161,8289600509
3031922;1;3;1; ; ; ; ;09;161,8289600509
3031923;1;1;2;1;2;11;1;09;139,80640527524
3031924;1;1;1; ; ; ; ;09;176,351494306936
3031925;1;1;1; ; ; ; ;09;204,169754520073
3031925;1;2;2;3;2;11;1;09;204,169754520073
3031925;1;3;2;3;2;11;1;09;204,169754520073
3031925;1;4;2;3;2;11;1;09;204,169754520073
3031926;1;1;2;2;2;17;1;09;152,492378128752
3031927;1;1;2;6; ; ; ;09;139,80640527524
3031928;1;1;2;6; ; ; ;09;127,103393913562
3031928;1;2;1; ; ; ; ;09;127,103393913562
3031929;1;1;1; ; ; ; ;09;141,89204404406
3031929;1;2;1; ; ; ; ;09;141,89204404406
3031930;1;1;1; ; ; ; ;09;139,80640527524
3031931;1;1;1; ; ; ; ;09;156,752971565177
3031931;1;2;1; ; ; ; ;09;156,752971565177
3031932;1;1;1; ; ; ; ;09;192,588831573211
3031932;1;2;2;6; ; ; ;09;192,588831573211
3031932;1;3;1; ; ; ; ;09;192,588831573211
3031932;1;4;1; ; ; ; ;09;192,588831573211
3031932;1;5;1; ; ; ; ;09;192,588831573211
3031933;1;1;1; ; ; ; ;09;152,493591562074
3031933;1;2;1; ; ; ; ;09;152,493591562074
3031933;1;3;1; ; ; ; ;09;152,493591562074
3031934;1;1;2;6; ; ; ;09;82,5976947452147
3031934;1;2;1; ; ; ; ;09;82,5976947452147
3031934;1;3;1; ; ; ; ;09;82,5976947452147
3031934;1;4;1; ; ; ; ;09;82,5976947452147
3031935;1;1;2;6; ; ; ;09;126,518181452403
3031936;1;1;2;6; ; ; ;09;97,5309371310369
3031936;1;2;2;6; ; ; ;09;97,5309371310369
3031937;1;1;1; ; ; ; ;09;59,5540201005041
3031937;1;2;1; ; ; ; ;09;59,5540201005041
3031937;1;3;1; ; ; ; ;09;59,5540201005041
3031937;1;4;2;6; ; ; ;09;59,5540201005041
3031937;1;5;2;6; ; ; ;09;59,5540201005041
3031938;1;1;1; ; ; ; ;09;81,16141766282
3031939;1;1;2;6; ; ; ;09;119,909417063027
3031939;1;2;2;6; ; ; ;09;119,909417063027
3031939;1;3;1; ; ; ; ;09;119,909417063027
3031939;1;4;1; ; ; ; ;09;119,909417063027
3031939;1;5;1; ; ; ; ;09;119,909417063027
3031939;1;6;2;2;2;66;1;09;119,909417063027
3031940;1;1;1; ; ; ; ;09;77,7089775310732
3031940;1;2;2;1;2;54;1;09;77,7089775310732
3031940;1;3;1; ; ; ; ;09;77,7089775310732
3031941;1;1;1; ; ; ; ;09;70,2988362796786
3031941;1;2;2;6; ; ; ;09;70,2988362796786
3031942;1;1;2;5;2;05;1;09;260,597117757123
3031942;1;2;2;5;2;05;1;09;260,597117757123
3031943;1;1;1; ; ; ; ;09;102,874312693741
3031943;1;2;1; ; ; ; ;09;102,874312693741
3031943;1;3;1; ; ; ; ;09;102,874312693741
3031943;1;4;1; ; ; ; ;09;102,874312693741
3031944;1;1;2;6; ; ; ;09;131,316777730638
3031944;1;2;2;6; ; ; ;09;131,316777730638
3031944;1;3;1; ; ; ; ;09;131,316777730638
3031944;1;4;1; ; ; ; ;09;131,316777730638
3031945;1;1;2;1;1; ; ;09;97,3828774347253
3031945;1;2;1; ; ; ; ;09;97,3828774347253
3031946;1;1;1; ; ; ; ;09;77,2506557841093
3031946;1;2;1; ; ; ; ;09;77,2506557841093
3031946;1;3;1; ; ; ; ;09;77,2506557841093
3031946;1;4;1; ; ; ; ;09;77,2506557841093
3031947;1;1;2;6; ; ; ;09;126,518181452403
3031948;1;1;2;3;2;63;1;09;166,17841572806
3031948;1;2;2;4;2;76;1;09;166,17841572806
3031948;1;3;2;4;2;76;1;09;166,17841572806
3031949;1;1;2;6; ; ; ;09;79,0946519741297
3031949;1;2;2;6; ; ; ;09;79,0946519741297
3031950;1;1;1; ; ; ; ;09;132,025119537478
3031950;1;2;2;6; ; ; ;09;132,025119537478
3031950;1;3;1; ; ; ; ;09;132,025119537478
3031951;1;1;2;6; ; ; ;09;124,451415763712
3031951;1;2;1; ; ; ; ;09;124,451415763712
3031952;1;1;2;6; ; ; ;09;172,025558842909
3031952;1;2;2;6; ; ; ;09;172,025558842909
3031952;1;3;2;6; ; ; ;09;172,025558842909
3031953;1;1;1; ; ; ; ;09;88,7943284128846
3031953;1;2;1; ; ; ; ;09;88,7943284128846
3031953;1;3;1; ; ; ; ;09;88,7943284128846
3031954;1;1;2;1;2;08;1;09;1127,91850218919
3031954;1;2;2;1;2;08;1;09;1127,91850218919
3031954;1;3;2;1;2;08;1;09;1127,91850218919
3031955;1;1;1; ; ; ; ;09;995,321168207334
3031955;1;2;1; ; ; ; ;09;995,321168207334
3031956;1;1;2;3;2;11;1;09;270,78688382688
3031956;1;2;2;6; ; ; ;09;270,78688382688
3031957;1;1;1; ; ; ; ;09;868,839246309563
3031958;1;1;1; ; ; ; ;09;850,160967111044
3031958;1;2;1; ; ; ; ;09;850,160967111044
3031958;1;3;1; ; ; ; ;09;850,160967111044
3031959;1;1;2;6; ; ; ;09;1087,38926964817
3031959;1;2;2;6; ; ; ;09;1087,38926964817
3031960;1;1;1; ; ; ; ;09;845,250534959063
3031960;1;2;1; ; ; ; ;09;845,250534959063
3031961;1;1;1; ; ; ; ;09;850,160967111044
3031961;1;2;1; ; ; ; ;09;850,160967111044
3031961;1;3;1; ; ; ; ;09;850,160967111044
3031962;1;1;1; ; ; ; ;09;845,250534959063
3031962;1;2;1; ; ; ; ;09;845,250534959063
3031963;1;1;1; ; ; ; ;09;952,927625882249
3031964;1;1;2;6; ; ; ;09;798,015358160366
3031964;1;2;2;6; ; ; ;09;798,015358160366
3031965;1;1;1; ; ; ; ;09;796,214876398697
