DIRECTORIO;SECUENCIA_P;ORDEN;P6074;P6075;P6076;P6076S1;P6095;mes;fex_c_2011
2903873;1;1;2;6; ; ; ;03;453,930869552387
2903873;1;2;1; ; ; ; ;03;453,930869552387
2903873;1;3;1; ; ; ; ;03;453,930869552387
2903873;1;4;1; ; ; ; ;03;453,930869552387
2903873;1;5;1; ; ; ; ;03;453,930869552387
2903874;1;1;1; ; ; ; ;03;376,09766668538
2903874;1;2;2;6; ; ; ;03;376,09766668538
2903878;1;1;2;6; ; ; ;03;389,413823183468
2903878;1;2;1; ; ; ; ;03;389,413823183468
2903878;1;3;1; ; ; ; ;03;389,413823183468
2903878;1;4;2;6; ; ; ;03;389,413823183468
2903881;1;1;1; ; ; ; ;03;378,9579465225
2903885;1;1;1; ; ; ; ;03;400,50335068085
2903886;1;1;2;6; ; ; ;03;106,966875587252
2903886;1;2;1; ; ; ; ;03;106,966875587252
2903886;1;3;1; ; ; ; ;03;106,966875587252
2903886;1;4;1; ; ; ; ;03;106,966875587252
2903887;1;1;1; ; ; ; ;03;108,425140765176
2903887;1;2;1; ; ; ; ;03;108,425140765176
2903887;1;3;1; ; ; ; ;03;108,425140765176
2903887;1;4;1; ; ; ; ;03;108,425140765176
2903888;1;1;1; ; ; ; ;03;68,6390572059394
2903888;1;2;1; ; ; ; ;03;68,6390572059394
2903888;1;3;1; ; ; ; ;03;68,6390572059394
2903888;1;4;1; ; ; ; ;03;68,6390572059394
2903889;1;1;1; ; ; ; ;03;106,411302900887
2903889;1;2;1; ; ; ; ;03;106,411302900887
2903889;1;3;1; ; ; ; ;03;106,411302900887
2903889;1;4;1; ; ; ; ;03;106,411302900887
2903889;1;5;1; ; ; ; ;03;106,411302900887
2903890;1;1;2;1;2;11;1;03;67,3127601903632
2903890;1;2;2;1;2;11;1;03;67,3127601903632
2903891;1;1;1; ; ; ; ;03;181,799729502944
2903891;1;2;1; ; ; ; ;03;181,799729502944
2903891;1;3;2;2;2;15;1;03;181,799729502944
2903892;1;1;2;1;2;15;1;03;185,947067208759
2903892;1;2;2;1;2;15;1;03;185,947067208759
2903893;1;1;2;6; ; ; ;03;123,855737943606
2903893;1;2;2;6; ; ; ;03;123,855737943606
2903893;1;3;2;2;2;15;1;03;123,855737943606
2903894;1;1;2;6; ; ; ;03;190,124256033055
2903894;1;2;1; ; ; ; ;03;190,124256033055
2903894;1;3;1; ; ; ; ;03;190,124256033055
2903894;1;4;1; ; ; ; ;03;190,124256033055
2903894;1;5;1; ; ; ; ;03;190,124256033055
2903894;1;6;1; ; ; ; ;03;190,124256033055
2903895;1;1;2;6; ; ; ;03;186,745278756736
2903896;1;1;1; ; ; ; ;03;110,06661703868
2903896;1;2;1; ; ; ; ;03;110,06661703868
2903896;1;3;1; ; ; ; ;03;110,06661703868
2903896;1;4;1; ; ; ; ;03;110,06661703868
2903896;1;5;1; ; ; ; ;03;110,06661703868
2903897;1;1;2;6; ; ; ;03;227,620063967471
2903897;1;2;1; ; ; ; ;03;227,620063967471
2903897;1;3;1; ; ; ; ;03;227,620063967471
2903897;1;4;1; ; ; ; ;03;227,620063967471
2903898;1;1;2;3;2;76;1;03;194,832184227713
2903898;1;2;2;3;2;76;1;03;194,832184227713
2903899;1;1;1; ; ; ; ;03;190,255916661751
2903899;1;2;1; ; ; ; ;03;190,255916661751
2903900;1;1;2;6; ; ; ;03;172,341425642973
2903900;1;2;2;1;2;52;1;03;172,341425642973
2903900;1;3;2;1;2;52;1;03;172,341425642973
2903902;1;1;1; ; ; ; ;03;172,050381890012
2903903;1;1;2;1;2;52;1;03;180,246273466319
2903904;1;1;2;1;2;52;1;03;180,246273466319
2903905;1;1;2;6; ; ; ;03;213,01579357462
2903905;1;2;2;6; ; ; ;03;213,01579357462
2903906;1;1;2;6; ; ; ;03;204,328164807443
2903906;1;2;1; ; ; ; ;03;204,328164807443
2903906;1;3;1; ; ; ; ;03;204,328164807443
2903907;1;1;2;6; ; ; ;03;213,01579357462
2903907;1;2;2;5;2;05;1;03;213,01579357462
2903909;1;1;2;6; ; ; ;03;185,161081078796
2903909;1;2;1; ; ; ; ;03;185,161081078796
2903909;1;3;1; ; ; ; ;03;185,161081078796
2903909;1;4;1; ; ; ; ;03;185,161081078796
2903910;1;1;2;6; ; ; ;03;160,034172865452
2903910;1;2;1; ; ; ; ;03;160,034172865452
2903910;1;3;1; ; ; ; ;03;160,034172865452
2903911;1;1;1; ; ; ; ;03;213,01579357462
2903911;1;2;1; ; ; ; ;03;213,01579357462
2903912;1;1;2;6; ; ; ;03;177,409430399805
2903913;1;1;2;6; ; ; ;03;230,438547402527
2903913;1;2;2;6; ; ; ;03;230,438547402527
2903913;1;3;1; ; ; ; ;03;230,438547402527
2903915;1;1;2;2;2;52;1;03;180,246273466319
2903916;1;1;2;6; ; ; ;03;185,679649095788
2903916;1;2;1; ; ; ; ;03;185,679649095788
2903916;1;3;1; ; ; ; ;03;185,679649095788
2903916;1;4;1; ; ; ; ;03;185,679649095788
2903917;1;1;1; ; ; ; ;03;213,01579357462
2903917;1;2;2;6; ; ; ;03;213,01579357462
2903918;1;1;2;6; ; ; ;03;213,01579357462
2903918;1;2;2;6; ; ; ;03;213,01579357462
2903919;1;1;1; ; ; ; ;03;172,050381890012
2903920;1;1;1; ; ; ; ;03;200,242623751059
2903920;1;2;1; ; ; ; ;03;200,242623751059
2903920;1;3;1; ; ; ; ;03;200,242623751059
2903921;1;1;1; ; ; ; ;03;185,652818269666
2903921;1;2;1; ; ; ; ;03;185,652818269666
2903921;1;3;1; ; ; ; ;03;185,652818269666
2903921;1;4;1; ; ; ; ;03;185,652818269666
2903922;1;1;1; ; ; ; ;03;146,516445470941
2903922;1;2;1; ; ; ; ;03;146,516445470941
2903922;1;3;1; ; ; ; ;03;146,516445470941
2903922;1;4;1; ; ; ; ;03;146,516445470941
2903922;1;5;1; ; ; ; ;03;146,516445470941
2903922;1;6;1; ; ; ; ;03;146,516445470941
2903922;1;7;1; ; ; ; ;03;146,516445470941
2903924;1;1;2;6; ; ; ;03;199,751897241481
2903924;1;2;1; ; ; ; ;03;199,751897241481
2903924;1;3;2;6; ; ; ;03;199,751897241481
2903924;1;4;1; ; ; ; ;03;199,751897241481
2903925;1;1;1; ; ; ; ;03;174,080850142422
2903925;1;2;1; ; ; ; ;03;174,080850142422
2903926;1;1;2;6; ; ; ;03;156,073041314873
2903926;1;2;2;6; ; ; ;03;156,073041314873
2903926;1;3;1; ; ; ; ;03;156,073041314873
2903926;1;4;1; ; ; ; ;03;156,073041314873
2903928;1;1;1; ; ; ; ;03;110,38111518548
2903928;1;2;2;6; ; ; ;03;110,38111518548
2903929;1;1;1; ; ; ; ;03;164,9642015921
2903929;1;2;1; ; ; ; ;03;164,9642015921
2903929;1;3;1; ; ; ; ;03;164,9642015921
2903930;1;1;2;1;2;18;1;03;173,879072867209
2903930;1;2;2;1;2;54;1;03;173,879072867209
2903930;1;3;2;1;2;68;1;03;173,879072867209
2903930;1;4;2;1;2;68;1;03;173,879072867209
2903931;1;1;2;6; ; ; ;03;158,807556679668
2903931;1;2;2;6; ; ; ;03;158,807556679668
2903931;1;3;1; ; ; ; ;03;158,807556679668
2903931;1;4;1; ; ; ; ;03;158,807556679668
2903935;1;1;2;6; ; ; ;03;173,597554328072
2903936;1;1;1; ; ; ; ;03;149,775794530623
2903936;1;2;1; ; ; ; ;03;149,775794530623
2903936;1;3;1; ; ; ; ;03;149,775794530623
2903937;1;1;2;4;2;08;1;03;143,404647334085
2903937;1;2;2;6; ; ; ;03;143,404647334085
2903937;1;4;2;1;2;08;1;03;143,404647334085
2903938;1;1;1; ; ; ; ;03;180,015573821355
2903938;1;2;2;6; ; ; ;03;180,015573821355
2903938;1;3;1; ; ; ; ;03;180,015573821355
2903938;1;4;1; ; ; ; ;03;180,015573821355
2903939;1;1;2;6; ; ; ;03;110,635603078776
2903939;1;2;2;6; ; ; ;03;110,635603078776
2903939;1;3;2;6; ; ; ;03;110,635603078776
2903940;1;1;2;6; ; ; ;03;134,424853140333
2903940;1;2;2;6; ; ; ;03;134,424853140333
2903940;1;4;2;6; ; ; ;03;134,424853140333
2903941;1;1;1; ; ; ; ;03;171,075765236793
2903941;1;2;2;6; ; ; ;03;171,075765236793
2903941;1;3;1; ; ; ; ;03;171,075765236793
2903941;1;4;1; ; ; ; ;03;171,075765236793
2903941;1;6;1; ; ; ; ;03;171,075765236793
2903942;1;1;1; ; ; ; ;03;131,866160854332
2903942;1;2;1; ; ; ; ;03;131,866160854332
2903943;1;1;2;1;2;44;1;03;164,97177401854
2903943;1;2;2;1;2;44;1;03;164,97177401854
2903943;1;3;2;1;2;44;1;03;164,97177401854
2903944;1;1;1; ; ; ; ;03;180,015573821355
2903944;1;2;2;6; ; ; ;03;180,015573821355
2903944;1;3;1; ; ; ; ;03;180,015573821355
2903944;1;4;1; ; ; ; ;03;180,015573821355
2903945;1;1;2;6; ; ; ;03;116,792247991208
2903945;1;2;1; ; ; ; ;03;116,792247991208
2903945;1;3;1; ; ; ; ;03;116,792247991208
2903946;1;1;1; ; ; ; ;03;146,076071160245
2903946;1;2;1; ; ; ; ;03;146,076071160245
2903947;1;1;1; ; ; ; ;03;135,629972334396
2903947;1;2;1; ; ; ; ;03;135,629972334396
2903947;1;3;1; ; ; ; ;03;135,629972334396
2903947;1;4;1; ; ; ; ;03;135,629972334396
2903948;1;1;2;6; ; ; ;03;150,363245784083
2903948;1;2;2;6; ; ; ;03;150,363245784083
2903948;1;3;2;6; ; ; ;03;150,363245784083
2903948;1;4;2;2;2;25;1;03;150,363245784083
2903949;1;1;1; ; ; ; ;03;105,843621833599
2903950;1;1;2;6; ; ; ;03;141,164288356989
2903950;1;2;1; ; ; ; ;03;141,164288356989
2903951;1;1;1; ; ; ; ;03;111,871376312803
2903951;1;2;1; ; ; ; ;03;111,871376312803
2903952;1;1;1; ; ; ; ;03;187,887952216538
2903952;1;2;1; ; ; ; ;03;187,887952216538
2903952;1;4;1; ; ; ; ;03;187,887952216538
2903953;1;1;1; ; ; ; ;03;267,690335092608
2903953;1;2;1; ; ; ; ;03;267,690335092608
2903953;1;3;1; ; ; ; ;03;267,690335092608
2903953;1;4;1; ; ; ; ;03;267,690335092608
2903953;1;5;1; ; ; ; ;03;267,690335092608
2903953;1;7;1; ; ; ; ;03;267,690335092608
2903954;1;1;2;6; ; ; ;03;261,436379062279
2903954;1;2;1; ; ; ; ;03;261,436379062279
2903954;1;3;1; ; ; ; ;03;261,436379062279
2903955;1;1;1; ; ; ; ;03;124,690435051935
2903955;1;2;1; ; ; ; ;03;124,690435051935
2903956;1;1;2;6; ; ; ;03;129,528623359481
2903956;1;2;1; ; ; ; ;03;129,528623359481
2903956;1;3;1; ; ; ; ;03;129,528623359481
2903956;1;4;1; ; ; ; ;03;129,528623359481
2903957;1;1;2;6; ; ; ;03;106,264482357669
2903957;1;2;2;6; ; ; ;03;106,264482357669
2903957;1;5;1; ; ; ; ;03;106,264482357669
2903957;1;6;1; ; ; ; ;03;106,264482357669
