Directorio;Secuencia_p;Orden;P6074;P756;P756S1;P756S3;P755;P755S1;P755S3;P754;P753;P753S1;P753S3;P752;P1662;Mes;Fex_c_2011
43;8;1;1;1;.; ;2;.; ;1;2;.; ;1; ;03;1627,35531896302
43;9;1;1;1;.; ;2;.; ;1;2;.; ;1; ;03;1627,35531896302
43;9;2;1;1;.; ;3;15; ;2;3;15; ;2; ;03;1627,35531896302
43;10;1;1;1;.; ;2;.; ;1;2;.; ;1; ;03;1627,35531896302
47;1;1;1;1;.; ;2;.; ;1;2;.; ;1; ;03;384,803411696141
47;1;2;1;1;.; ;2;.; ;1;2;.; ;1; ;03;384,803411696141
48;1;1;1;1;.; ;2;.; ;1;2;.; ;1; ;03;141,544536872019
48;1;2;1;1;.; ;2;.; ;1;2;.; ;1; ;03;141,544536872019
48;1;3;1;1;.; ;2;.; ;1;2;.; ;1; ;03;141,544536872019
64;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;03;1153,51034628668
72;1;1;1;2;54; ;2;.; ;1;2;.; ;1; ;03;657,78999366551
75;1;1;1;1;.; ;2;.; ;1;2;.; ;1; ;03;66,6350306082924
75;1;2;1;1;.; ;1;.; ; ; ; ; ;1; ;03;66,6350306082924
84;1;1;1;2;76; ;2;.; ;1;2;.; ;1; ;03;270,652184098254
84;1;2;1;2;76; ;4;.;3; ; ; ; ;1; ;03;270,652184098254
84;1;3;1;2;76; ;2;.; ;1;2;.; ;1; ;03;270,652184098254
84;1;4;1;2;76; ;2;.; ;1;2;.; ;1; ;03;270,652184098254
95;1;1;1;2;68; ;2;.; ;1;2;.; ;1; ;03;418,419949324479
95;1;2;1;1;.; ;2;.; ;1;2;.; ;1; ;03;418,419949324479
96;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;03;877,345479800338
96;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;03;877,345479800338
101;1;1;1;2;68; ;2;.; ;1;2;.; ;1; ;03;465,297252017463
101;1;2;1;2;68; ;2;.; ;1;2;.; ;1; ;03;465,297252017463
102;1;1;1;2;23; ;2;.; ;1;2;.; ;1; ;03;112,164319931191
102;1;2;1;2;23; ;2;.; ;1;2;.; ;1; ;03;112,164319931191
102;1;3;1;1;.; ;2;.; ;1;2;.; ;1; ;03;112,164319931191
103;1;1;1;1;.; ;2;.; ;1;2;.; ;1; ;03;550,854992360948
103;1;2;1;1;.; ;2;.; ;1;2;.; ;1; ;03;550,854992360948
105;1;1;1;1;.; ;2;.; ;1;2;.; ;1; ;03;583,993326205064
105;1;2;1;1;.; ;2;.; ;1;2;.; ;1; ;03;583,993326205064
106;1;1;1;1;.; ;2;.; ;1;2;.; ;1; ;03;128,417633540534
106;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;03;128,417633540534
107;1;1;1;1;.; ;2;.; ;1;2;.; ;1; ;03;503,259324060996
110;1;1;1;1;.; ;2;.; ;1;2;.; ;1; ;03;33,251828969634
110;1;2;1;1;.; ;2;.; ;1;2;.; ;1; ;03;33,251828969634
110;1;3;1;1;.; ;2;.; ;1;2;.; ;1; ;03;33,251828969634
112;1;1;1;1;.; ;2;.; ;1;2;.; ;1; ;03;574,781729460535
112;1;2;1;1;.; ;2;.; ;1;2;.; ;1; ;03;574,781729460535
112;1;3;1;1;.; ;2;.; ;1;2;.; ;1; ;03;574,781729460535
112;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;03;574,781729460535
112;1;5;1;1;.; ;2;.; ;1;2;.; ;1; ;03;574,781729460535
112;1;6;1;1;.; ;2;.; ;1;2;.; ;1; ;03;574,781729460535
114;1;1;1;1;.; ;2;.; ;1;2;.; ;1; ;03;74,0389228981029
114;1;2;1;1;.; ;2;.; ;1;2;.; ;1; ;03;74,0389228981029
115;1;1;1;2;54; ;2;.; ;1;2;.; ;1; ;03;487,538808075176
115;1;2;1;2;17; ;2;.; ;1;2;.; ;1; ;03;487,538808075176
115;1;3;1;2;54; ;2;.; ;1;2;.; ;1; ;03;487,538808075176
115;1;4;1;2;54; ;3;54; ;1;2;.; ;1; ;03;487,538808075176
115;1;5;1;2;54; ;3;54; ;1;2;.; ;1; ;03;487,538808075176
124;1;2;1;1;.; ;2;.; ;1;2;.; ;1; ;03;550,854992360948
124;1;3;1;1;.; ;2;.; ;1;2;.; ;1; ;03;550,854992360948
127;1;1;1;1;.; ;2;.; ;1;2;.; ;1; ;03;760,179638563845
127;1;2;1;2;08; ;2;.; ;1;2;.; ;1; ;03;760,179638563845
127;1;3;1;1;.; ;2;.; ;1;2;.; ;1; ;03;760,179638563845
127;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;03;760,179638563845
127;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;03;760,179638563845
129;1;2;1;1;.; ;2;.; ;1;2;.; ;1; ;03;617,45084924644
130;2;1;1;1;.; ;2;.; ;1;2;.; ;1; ;03;160,985450529792
130;2;2;1;1;.; ;2;.; ;1;2;.; ;1; ;03;160,985450529792
130;2;3;1;1;.; ;2;.; ;1;2;.; ;1; ;03;160,985450529792
131;1;1;1;2;20; ;2;.; ;1;2;.; ;1; ;03;606,579166271626
131;1;2;1;2;54; ;2;.; ;1;2;.; ;1; ;03;606,579166271626
131;1;3;1;2;20; ;3;20; ;1;3;20; ;1; ;03;606,579166271626
131;1;4;1;2;20; ;3;20; ;1;3;20; ;1; ;03;606,579166271626
133;1;1;1;2;27; ;2;.; ;1;2;.; ;1; ;03;81,8956203075883
133;1;2;1;1;.; ;2;.; ;1;2;.; ;1; ;03;81,8956203075883
133;1;3;1;1;.; ;2;.; ;1;2;.; ;1; ;03;81,8956203075883
139;1;1;1;1;.; ;2;.; ;1;2;.; ;1; ;03;48,2381884786047
139;1;2;1;1;.; ;2;.; ;1;2;.; ;1; ;03;48,2381884786047
139;1;3;1;1;.; ;2;.; ;1;2;.; ;1; ;03;48,2381884786047
145;1;1;1;1;.; ;2;.; ;1;2;.; ;1; ;03;99,2328448702723
145;1;2;1;1;.; ;2;.; ;1;2;.; ;1; ;03;99,2328448702723
145;1;3;1;1;.; ;1;.; ; ; ; ; ;1; ;03;99,2328448702723
150;1;1;1;2;17; ;2;.; ;1;2;.; ;1; ;03;72,6438012241939
150;1;2;1;2;17; ;2;.; ;1;2;.; ;1; ;03;72,6438012241939
150;1;3;1;1;.; ;2;.; ;1;2;.; ;1; ;03;72,6438012241939
152;1;1;1;2;20; ;2;.; ;1;2;.; ;1; ;03;611,220579377063
152;1;2;1;1;.; ;2;.; ;1;2;.; ;1; ;03;611,220579377063
152;1;3;1;1;.; ;2;.; ;1;2;.; ;1; ;03;611,220579377063
152;1;4;1;1;.; ;1;.; ; ; ; ; ;1; ;03;611,220579377063
152;1;5;1;1;.; ;2;.; ;1;2;.; ;1; ;03;611,220579377063
153;1;1;1;2;44; ;2;.; ;1;2;.; ;1; ;03;59,6269048719484
153;1;2;1;2;44; ;2;.; ;1;2;.; ;1; ;03;59,6269048719484
154;1;1;1;1;.; ;2;.; ; ;2;.; ;1; ;03;431,724951345309
154;1;2;1;1;.; ;2;.; ; ;2;.; ;1; ;03;431,724951345309
154;1;3;1;1;.; ;2;.; ; ;2;.; ;1; ;03;431,724951345309
154;1;4;1;1;.; ;2;.; ; ;2;.; ;1; ;03;431,724951345309
155;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;03;313,519642613742
155;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;03;313,519642613742
155;1;3;1;1;.; ;2;.; ;1;2;.; ;1; ;03;313,519642613742
159;1;1;1;2;73; ;2;.; ;1;2;.; ;1; ;03;60,051799234143
159;1;2;1;2;73; ;2;.; ;1;2;.; ;1; ;03;60,051799234143
159;1;3;1;2;73; ;2;.; ;1;2;.; ;1; ;03;60,051799234143
161;1;1;1;1;.; ;2;.; ;1;2;.; ;1; ;03;901,262359372771
161;1;2;1;1;.; ;2;.; ;1;2;.; ;1; ;03;901,262359372771
161;1;3;1;1;.; ;2;.; ;1;2;.; ;1; ;03;901,262359372771
162;1;1;1;1;.; ;2;.; ;1;2;.; ;1; ;03;79,998059387965
164;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;03;113,286379945533
164;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;03;113,286379945533
164;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;03;113,286379945533
165;1;1;1;2;20; ;3;20; ;1;2;.; ;1; ;03;861,542641353832
165;1;2;1;1;.; ;2;.; ;1;2;.; ;1; ;03;861,542641353832
165;1;3;1;2;20; ;3;20; ;1;3;20; ;1; ;03;861,542641353832
166;1;1;1;2;44; ;2;.; ;1;2;.; ;1; ;03;66,1323639000045
168;1;1;1;1;.; ;2;.; ;1;2;.; ;1; ;03;155,090707341567
168;1;2;1;1;.; ;2;.; ;1;2;.; ;1; ;03;155,090707341567
168;1;3;1;2;54; ;2;.; ;1;2;.; ;1; ;03;155,090707341567
168;1;4;1;2;54; ;2;.; ;1;2;.; ;1; ;03;155,090707341567
168;1;5;1;1;.; ;2;.; ;1;2;.; ;1; ;03;155,090707341567
169;1;1;1;1;.; ;2;.; ;1;2;.; ;1; ;03;779,200443365366
169;1;2;1;2;63; ;2;.; ;1;2;.; ;1; ;03;779,200443365366
169;1;3;1;2;68; ;2;.; ;1;2;.; ;1; ;03;779,200443365366
170;1;1;1;1;.; ;2;.; ;1;2;.; ;1; ;03;271,497568730277
170;1;2;1;1;.; ;2;.; ;1;2;.; ;1; ;03;271,497568730277
170;1;3;1;1;.; ;2;.; ;1;2;.; ;1; ;03;271,497568730277
170;1;4;1;1;.; ;2;.; ;1;2;.; ;1; ;03;271,497568730277
171;1;1;1;1;.; ;2;.; ;1;2;.; ;1; ;03;168,26127483158
172;1;1;1;2;54; ;3;68; ;1;2;.; ;1; ;03;506,499494556187
172;1;2;1;2;81; ;2;.; ;1;2;.; ;1; ;03;506,499494556187
173;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;03;223,262920651172
174;1;1;1;2;47; ;3;05; ;1;2;.; ;1; ;03;938,394398914889
177;1;1;1;2;05; ;2;.; ;1;2;.; ;1; ;03;314,839004623142
177;1;2;1;2;05; ;2;.; ;1;2;.; ;1; ;03;314,839004623142
183;1;1;1;1;.; ;2;.; ;1;2;.; ;1; ;03;282,800547307121
184;1;1;1;1;.; ;2;.; ;1;2;.; ;1; ;03;382,736435402009
185;1;1;1;2;05; ;2;.; ;1;2;.; ;1; ;03;51,9721188616001
185;1;2;1;2;63; ;2;.; ;1;2;.; ;1; ;03;51,9721188616001
187;1;1;1;2;13; ;2;.; ;1;2;.; ;1; ;03;328,332425814115
189;1;1;1;2;20; ;2;.; ;1;2;.; ;1; ;03;71,9982534491686
191;1;1;1;2;73; ;2;.; ;1;2;.; ;1; ;03;461,516639538047
192;1;1;1;2;17; ;2;.; ;1;2;.; ;1; ;03;400,491975371964
192;1;2;1;1;.; ;2;.; ;1;2;.; ;1; ;03;400,491975371964
194;1;1;1;2;54; ;2;.; ;1;2;.; ;1; ;03;307,745123611008
194;1;2;1;2;23; ;2;.; ;1;2;.; ;1; ;03;307,745123611008
195;1;1;1;1;.; ;2;.; ;1;2;.; ;1; ;03;253,290015460468
195;1;2;1;1;.; ;2;.; ;1;2;.; ;1; ;03;253,290015460468
195;1;3;1;1;.; ;2;.; ;1;2;.; ;1; ;03;253,290015460468
195;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;03;253,290015460468
197;2;1;1;1;.; ;2;.; ;1;2;.; ;1; ;03;372,132379986271
197;2;2;1;2;66; ;2;.; ;1;2;.; ;1; ;03;372,132379986271
197;2;3;1;1;.; ;2;.; ;1;2;.; ;1; ;03;372,132379986271
