DIRECTORIO;SECUENCIA_P;ORDEN;P6074;P6075;P6076;P6076S1;P6095;mes;fex_c_2011
3053972;1;1;2;6; ; ; ;10;105,9740092902
3053972;1;2;2;6; ; ; ;10;105,9740092902
3053972;1;3;2;6; ; ; ;10;105,9740092902
3053972;1;4;1; ; ; ; ;10;105,9740092902
3053973;1;1;2;6; ; ; ;10;121,265384545771
3053973;1;2;2;6; ; ; ;10;121,265384545771
3053973;1;3;2;6; ; ; ;10;121,265384545771
3053973;1;4;1; ; ; ; ;10;121,265384545771
3053974;1;1;1; ; ; ; ;10;114,947553473344
3053974;1;2;1; ; ; ; ;10;114,947553473344
3053975;1;1;1; ; ; ; ;10;75,7061378062219
3053975;1;2;1; ; ; ; ;10;75,7061378062219
3053975;1;3;1; ; ; ; ;10;75,7061378062219
3053976;1;1;1; ; ; ; ;10;70,4093133482358
3053976;1;2;1; ; ; ; ;10;70,4093133482358
3053977;1;1;1; ; ; ; ;10;80,4280932974061
3053977;1;2;1; ; ; ; ;10;80,4280932974061
3053978;1;1;1; ; ; ; ;10;96,9834833481258
3053978;1;2;1; ; ; ; ;10;96,9834833481258
3053978;1;3;1; ; ; ; ;10;96,9834833481258
3053979;1;1;2;6; ; ; ;10;106,11867456955
3053980;1;1;1; ; ; ; ;10;69,0527025141151
3053980;1;2;1; ; ; ; ;10;69,0527025141151
3053980;1;3;1; ; ; ; ;10;69,0527025141151
3053980;1;4;1; ; ; ; ;10;69,0527025141151
3053980;1;5;1; ; ; ; ;10;69,0527025141151
3053981;1;1;2;4;2;63;1;10;157,049839706002
3053981;1;2;1; ; ; ; ;10;157,049839706002
3053982;1;1;1; ; ; ; ;10;162,566031854202
3053983;1;1;2;6; ; ; ;10;144,675222602748
3053983;1;2;1; ; ; ; ;10;144,675222602748
3053984;1;1;1; ; ; ; ;10;190,747699736517
3053984;1;2;1; ; ; ; ;10;190,747699736517
3053985;1;1;1; ; ; ; ;10;134,582579708123
3053985;1;2;1; ; ; ; ;10;134,582579708123
3053986;1;1;2;6; ; ; ;10;162,566031854202
3053987;1;1;1; ; ; ; ;10;175,64794596182
3053987;1;2;2;6; ; ; ;10;175,64794596182
3053988;1;1;2;3;2;17;2;10;185,231507588316
3053988;1;2;2;3;2;17;2;10;185,231507588316
3053988;1;3;2;3;2;17;2;10;185,231507588316
3053989;1;1;1; ; ; ; ;10;144,675222602748
3053989;1;2;1; ; ; ; ;10;144,675222602748
3053990;1;1;1; ; ; ; ;10;199,633580090721
3053990;1;2;1; ; ; ; ;10;199,633580090721
3053990;1;3;1; ; ; ; ;10;199,633580090721
3053991;1;1;1; ; ; ; ;10;157,049839706002
3053991;1;2;1; ; ; ; ;10;157,049839706002
3053992;1;1;1; ; ; ; ;10;104,858540126219
3053992;1;2;2;6; ; ; ;10;104,858540126219
3053992;1;3;1; ; ; ; ;10;104,858540126219
3053992;1;4;1; ; ; ; ;10;104,858540126219
3053993;1;1;2;5;2;73;1;10;149,345398876822
3053994;1;1;2;3;2;86;2;10;148,29493083589
3053995;1;1;2;1;2;66;1;10;145,216609375551
3053995;1;2;2;1;2;66;1;10;145,216609375551
3053995;1;3;2;1;2;66;1;10;145,216609375551
3053997;1;1;1; ; ; ; ;10;172,856890485063
3053997;1;2;1; ; ; ; ;10;172,856890485063
3053997;1;3;1; ; ; ; ;10;172,856890485063
3053998;1;1;1; ; ; ; ;10;129,575468828051
3053998;1;2;1; ; ; ; ;10;129,575468828051
3053999;1;1;1; ; ; ; ;10;144,675222602748
3053999;1;2;1; ; ; ; ;10;144,675222602748
3054001;1;1;1; ; ; ; ;10;194,815069214813
3054001;1;2;2;6; ; ; ;10;194,815069214813
3054001;1;3;1; ; ; ; ;10;194,815069214813
3054002;1;1;1; ; ; ; ;10;144,675222602748
3054002;1;2;1; ; ; ; ;10;144,675222602748
3054003;1;1;1; ; ; ; ;10;91,974841754837
3054003;1;2;1; ; ; ; ;10;91,974841754837
3054003;1;3;1; ; ; ; ;10;91,974841754837
3054003;1;4;1; ; ; ; ;10;91,974841754837
3054003;1;5;1; ; ; ; ;10;91,974841754837
3054004;1;1;2;6; ; ; ;10;144,675222602748
3054004;1;2;1; ; ; ; ;10;144,675222602748
3054006;1;1;2;6; ; ; ;10;139,097786929537
3054006;1;2;2;6; ; ; ;10;139,097786929537
3054006;1;3;1; ; ; ; ;10;139,097786929537
3054006;1;4;1; ; ; ; ;10;139,097786929537
3054006;1;5;1; ; ; ; ;10;139,097786929537
3054007;1;1;2;6; ; ; ;10;143,287819955818
3054008;1;1;2;3;2;11;1;10;172,280564964791
3054009;1;1;1; ; ; ; ;10;139,097786929537
3054009;1;2;1; ; ; ; ;10;139,097786929537
3054009;1;3;1; ; ; ; ;10;139,097786929537
3054009;1;4;1; ; ; ; ;10;139,097786929537
3054009;1;5;1; ; ; ; ;10;139,097786929537
3054010;1;1;2;6; ; ; ;10;129,575468828051
3054010;1;2;2;6; ; ; ;10;129,575468828051
3054011;1;1;2;6; ; ; ;10;2514,91775720353
3054012;1;1;1; ; ; ; ;10;54,4368986734521
3054013;1;1;1; ; ; ; ;10;64,5205472624257
3054014;1;1;2;6; ; ; ;10;79,0875446875943
3054014;1;2;2;6; ; ; ;10;79,0875446875943
3054014;1;3;2;6; ; ; ;10;79,0875446875943
3054014;1;4;2;6; ; ; ;10;79,0875446875943
3054015;1;1;1; ; ; ; ;10;59,3252071502017
3054016;1;1;2;6; ; ; ;10;83,0388730934688
3054016;1;2;1; ; ; ; ;10;83,0388730934688
3054016;1;3;1; ; ; ; ;10;83,0388730934688
3054017;1;1;2;6; ; ; ;10;64,202306710823
3054018;1;1;1; ; ; ; ;10;88,2342132056928
3054018;1;2;1; ; ; ; ;10;88,2342132056928
3054018;1;3;1; ; ; ; ;10;88,2342132056928
3054018;1;4;2;1;2;41;2;10;88,2342132056928
3054019;1;1;1; ; ; ; ;10;59,632238785676
3054019;1;2;1; ; ; ; ;10;59,632238785676
3054020;1;1;1; ; ; ; ;10;90,7825396989422
3054020;1;2;1; ; ; ; ;10;90,7825396989422
3054020;1;3;1; ; ; ; ;10;90,7825396989422
3054021;1;1;1; ; ; ; ;10;56,8764998288172
3054021;1;2;1; ; ; ; ;10;56,8764998288172
3054022;1;1;2;3;2;08;1;10;80,9063035735779
3054022;1;2;2;4;2;05;1;10;80,9063035735779
3054022;1;3;2;3;2;05;1;10;80,9063035735779
3054022;1;4;2;3;2;05;1;10;80,9063035735779
3054023;1;1;1; ; ; ; ;10;64,202306710823
3054024;1;1;1; ; ; ; ;10;66,9601484177909
3054024;1;2;1; ; ; ; ;10;66,9601484177909
3054024;1;3;1; ; ; ; ;10;66,9601484177909
3054025;1;1;2;5;2;18;1;10;93,2312470203267
3054025;1;2;2;5;2;18;1;10;93,2312470203267
3054026;1;1;2;6; ; ; ;10;64,202306710823
3054027;1;1;1; ; ; ; ;10;88,3429385435771
3054027;1;2;2;5;2;11;1;10;88,3429385435771
3054027;1;3;1; ; ; ; ;10;88,3429385435771
3054028;1;1;2;6; ; ; ;10;80,0598980565109
3054028;1;2;1; ; ; ; ;10;80,0598980565109
3054028;1;3;1; ; ; ; ;10;80,0598980565109
3054028;1;4;1; ; ; ; ;10;80,0598980565109
3054029;1;1;1; ; ; ; ;10;75,4432479171941
3054029;1;2;1; ; ; ; ;10;75,4432479171941
3054029;1;3;1; ; ; ; ;10;75,4432479171941
3054029;1;4;1; ; ; ; ;10;75,4432479171941
3054029;1;5;1; ; ; ; ;10;75,4432479171941
3054029;1;6;1; ; ; ; ;10;75,4432479171941
3054030;1;1;1; ; ; ; ;10;80,9063035735779
