Directorio;Secuencia_p;Orden;P6074;P756;P756S1;P756S3;P755;P755S1;P755S3;P754;P753;P753S1;P753S3;P752;P1662;Mes;Fex_c_2011
5130007;1;1;2;1; ; ;2; ; ;1;2; ; ;1; ;02;2838,14507072313
5130007;1;2;2;1; ; ;2; ; ;1;2; ; ;1; ;02;2838,14507072313
5130009;1;1;2;1; ; ;3;13; ;1;2; ; ;1; ;02;4048,76820886989
5130009;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;02;4048,76820886989
5130010;1;1;2;1; ; ;2; ; ;1;2; ; ;1; ;02;2834,78048371042
5130010;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;02;2834,78048371042
5130011;1;1;2;2;68; ;2; ; ;1;2; ; ;1; ;02;3445,73361561683
5130011;1;2;2;2;68; ;2; ; ;1;2; ; ;1; ;02;3445,73361561683
5130011;1;3;2;2;68; ;2; ; ;1;2; ; ;1; ;02;3445,73361561683
5130011;1;4;2;2;68; ;1; ; ; ;2; ; ;1; ;02;3445,73361561683
5130023;1;1;2;1; ; ;3;11; ;1;3;11; ;1; ;02;2557,00024854598
5130023;1;2;2;2;47; ;3;11; ;1;3;11; ;1; ;02;2557,00024854598
5130023;1;3;2;2;11; ;1; ; ; ;3;11; ;1; ;02;2557,00024854598
5130023;1;4;2;2;11; ;1; ; ; ;3;11; ;1; ;02;2557,00024854598
5130023;1;5;2;3; ;3;4; ;3; ;4; ;3; ;10;02;2557,00024854598
5130029;1;1;2;1; ; ;2; ; ;1;2; ; ;1; ;02;4071,16401206301
5130029;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;02;4071,16401206301
5130030;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;02;2846,16911839506
5130030;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;02;2846,16911839506
5130030;1;3;2;1; ; ;2; ; ;1;2; ; ;1; ;02;2846,16911839506
5130030;1;4;2;2;15; ;2; ; ;1;2; ; ;1; ;02;2846,16911839506
5130031;1;1;2;1; ; ;2; ; ;1;2; ; ;1; ;02;4041,5413173422
5130031;1;2;2;2;54; ;2; ; ;1;2; ; ;1; ;02;4041,5413173422
5130031;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;02;4041,5413173422
5130031;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;02;4041,5413173422
