DIRECTORIO;SECUENCIA_P;ORDEN;P6074;P6075;P6076;P6076S1;P6095;mes;fex_c_2011
2990214;1;1;1; ; ; ; ;07;96,8055165485164
2990214;1;2;1; ; ; ; ;07;96,8055165485164
2990214;1;3;1; ; ; ; ;07;96,8055165485164
2990214;1;4;1; ; ; ; ;07;96,8055165485164
2990215;1;1;2;1;2;50;1;07;117,50452981604
2990215;1;2;2;1;2;50;1;07;117,50452981604
2990216;1;1;1; ; ; ; ;07;73,010460112644
2990216;1;2;1; ; ; ; ;07;73,010460112644
2990216;1;3;1; ; ; ; ;07;73,010460112644
2990216;1;4;1; ; ; ; ;07;73,010460112644
2990217;1;1;1; ; ; ; ;07;98,0907649035022
2990217;1;2;1; ; ; ; ;07;98,0907649035022
2990217;1;3;1; ; ; ; ;07;98,0907649035022
2990218;1;1;1; ; ; ; ;07;69,8009194305817
2990218;1;2;1; ; ; ; ;07;69,8009194305817
2990218;1;3;1; ; ; ; ;07;69,8009194305817
2990219;1;1;2;6; ; ; ;07;60,0998372119026
2990219;1;2;1; ; ; ; ;07;60,0998372119026
2990219;1;3;1; ; ; ; ;07;60,0998372119026
2990220;1;1;1; ; ; ; ;07;79,2026718433475
2990220;1;2;1; ; ; ; ;07;79,2026718433475
2990220;1;3;1; ; ; ; ;07;79,2026718433475
2990221;1;1;1; ; ; ; ;07;68,5156710755959
2990221;1;2;1; ; ; ; ;07;68,5156710755959
2990221;1;3;1; ; ; ; ;07;68,5156710755959
2990221;1;4;2;6; ; ; ;07;68,5156710755959
2990221;1;5;1; ; ; ; ;07;68,5156710755959
2990222;1;1;2;6; ; ; ;07;82,8120347280023
2990222;1;2;2;6; ; ; ;07;82,8120347280023
2990222;1;4;2;6; ; ; ;07;82,8120347280023
2990223;1;1;1; ; ; ; ;07;77,7070371152724
2990223;1;2;1; ; ; ; ;07;77,7070371152724
2990225;1;1;2;6; ; ; ;07;92,8080677398675
2990226;1;1;2;6; ; ; ;07;76,0725901807831
2990226;1;2;2;6; ; ; ;07;76,0725901807831
2990227;1;1;2;6; ; ; ;07;186,837086950383
2990227;1;2;2;6; ; ; ;07;186,837086950383
2990227;1;3;1; ; ; ; ;07;186,837086950383
2990228;1;1;2;6; ; ; ;07;120,69835527753
2990229;1;1;2;6; ; ; ;07;107,14059550734
2990229;1;2;2;6; ; ; ;07;107,14059550734
2990229;1;3;1; ; ; ; ;07;107,14059550734
2990229;1;4;1; ; ; ; ;07;107,14059550734
2990229;1;5;1; ; ; ; ;07;107,14059550734
2990229;1;6;1; ; ; ; ;07;107,14059550734
2990229;1;7;2;3;2;05;1;07;107,14059550734
2990230;1;1;2;1;2;63;1;07;120,69835527753
2990231;1;1;2;6; ; ; ;07;88,5538128895536
2990231;1;2;1; ; ; ; ;07;88,5538128895536
2990231;1;4;1; ; ; ; ;07;88,5538128895536
2990232;1;1;2;6; ; ; ;07;121,653259421364
2990233;1;1;2;6; ; ; ;07;114,57733412335
2990233;1;2;2;6; ; ; ;07;114,57733412335
2990234;1;1;2;6; ; ; ;07;82,1936113349626
2990235;1;1;2;6; ; ; ;07;167,830964899475
2990236;1;1;1; ; ; ; ;07;85,869367617931
2990236;1;2;1; ; ; ; ;07;85,869367617931
2990236;1;3;1; ; ; ; ;07;85,869367617931
2990236;1;4;1; ; ; ; ;07;85,869367617931
2990236;1;5;1; ; ; ; ;07;85,869367617931
2990237;1;1;1; ; ; ; ;07;74,6923476532721
2990237;1;2;1; ; ; ; ;07;74,6923476532721
2990237;1;3;1; ; ; ; ;07;74,6923476532721
2990238;1;1;1; ; ; ; ;07;159,885848050081
2990238;1;2;1; ; ; ; ;07;159,885848050081
2990238;1;3;1; ; ; ; ;07;159,885848050081
2990238;1;4;1; ; ; ; ;07;159,885848050081
2990239;1;1;2;6; ; ; ;07;76,0725901807831
2990239;1;2;2;6; ; ; ;07;76,0725901807831
2990240;1;1;1; ; ; ; ;07;63,8871402877717
2990240;1;2;1; ; ; ; ;07;63,8871402877717
2990240;1;3;1; ; ; ; ;07;63,8871402877717
2990240;1;4;1; ; ; ; ;07;63,8871402877717
2990241;1;1;2;2;2;05;1;07;82,1936113349626
2990242;1;1;2;1;1; ; ;07;154,790044541525
2990242;1;2;2;1;2;11;1;07;154,790044541525
2990243;1;1;2;5;2;63;1;07;66,3033776361746
2990243;1;2;2;5;2;63;1;07;66,3033776361746
2990243;1;3;2;5;2;63;1;07;66,3033776361746
2990243;1;5;2;5;2;63;1;07;66,3033776361746
2990243;1;6;2;5;2;63;1;07;66,3033776361746
2990243;1;7;2;5;2;63;1;07;66,3033776361746
2990244;1;1;2;2;2;17;2;07;69,1038376709426
2990244;1;2;2;2;2;17;2;07;69,1038376709426
2990245;1;1;1; ; ; ; ;07;154,741191235455
2990245;1;2;2;1;1; ; ;07;154,741191235455
2990246;1;1;1; ; ; ; ;07;154,741191235455
2990246;1;2;1; ; ; ; ;07;154,741191235455
2990247;1;1;2;6; ; ; ;07;63,8871402877717
2990247;1;2;2;6; ; ; ;07;63,8871402877717
2990247;1;3;2;6; ; ; ;07;63,8871402877717
2990248;1;1;1; ; ; ; ;07;121,653259421364
2990249;1;1;1; ; ; ; ;07;133,427315623553
2990249;1;2;1; ; ; ; ;07;133,427315623553
2990249;1;3;1; ; ; ; ;07;133,427315623553
2990249;1;4;1; ; ; ; ;07;133,427315623553
2990250;1;1;2;6; ; ; ;07;121,653259421364
2990251;1;1;2;6; ; ; ;07;153,764826895902
2990251;1;2;1; ; ; ; ;07;153,764826895902
2990251;1;3;1; ; ; ; ;07;153,764826895902
2990251;1;4;1; ; ; ; ;07;153,764826895902
2990251;1;5;1; ; ; ; ;07;153,764826895902
2990252;1;1;2;4;2;11;1;07;121,717784487045
2990252;1;2;1; ; ; ; ;07;121,717784487045
2990252;1;3;1; ; ; ; ;07;121,717784487045
2990252;1;4;1; ; ; ; ;07;121,717784487045
2990253;1;1;1; ; ; ; ;07;114,749031977204
2990253;1;2;2;6; ; ; ;07;114,749031977204
2990253;1;3;1; ; ; ; ;07;114,749031977204
2990253;1;4;2;6; ; ; ;07;114,749031977204
2990254;1;1;2;6; ; ; ;07;160,378554523855
2990254;1;2;1; ; ; ; ;07;160,378554523855
2990254;1;3;1; ; ; ; ;07;160,378554523855
2990254;1;4;1; ; ; ; ;07;160,378554523855
2990255;1;1;2;6; ; ; ;07;107,501408825336
2990255;1;2;2;6; ; ; ;07;107,501408825336
2990255;1;3;2;6; ; ; ;07;107,501408825336
2990256;1;1;1; ; ; ; ;07;154,711273192621
2990256;1;2;1; ; ; ; ;07;154,711273192621
2990258;1;1;2;6; ; ; ;07;169,40258137991
2990259;1;1;1; ; ; ; ;07;157,259028075621
2990259;1;2;2;6; ; ; ;07;157,259028075621
2990259;1;3;1; ; ; ; ;07;157,259028075621
2990259;1;4;1; ; ; ; ;07;157,259028075621
2990259;1;5;2;6; ; ; ;07;157,259028075621
2990259;1;6;2;6; ; ; ;07;157,259028075621
2990260;1;1;1; ; ; ; ;07;199,223394908145
2990260;1;2;1; ; ; ; ;07;199,223394908145
2990260;1;3;1; ; ; ; ;07;199,223394908145
