DIRECTORIO;SECUENCIA_P;ORDEN;P6074;P6075;P6076;P6076S1;P6095;mes;fex_c_2011
3096340;1;1;2;6; ; ; ;12;86,3420243526106
3096340;1;2;2;6; ; ; ;12;86,3420243526106
3096341;1;1;2;6; ; ; ;12;84,0791699399108
3096341;1;2;1; ; ; ; ;12;84,0791699399108
3096341;1;3;1; ; ; ; ;12;84,0791699399108
3096341;1;4;1; ; ; ; ;12;84,0791699399108
3096342;1;1;1; ; ; ; ;12;95,0377839420024
3096343;1;1;2;6; ; ; ;12;98,0078613219285
3096343;1;2;2;6; ; ; ;12;98,0078613219285
3096343;1;3;2;6; ; ; ;12;98,0078613219285
3096343;1;4;1; ; ; ; ;12;98,0078613219285
3096344;1;1;1; ; ; ; ;12;92,3764829441421
3096344;1;2;1; ; ; ; ;12;92,3764829441421
3096344;1;3;1; ; ; ; ;12;92,3764829441421
3096346;1;1;1; ; ; ; ;12;211,113613903876
3096346;1;2;1; ; ; ; ;12;211,113613903876
3096346;1;3;1; ; ; ; ;12;211,113613903876
3096346;1;4;1; ; ; ; ;12;211,113613903876
3096346;1;5;1; ; ; ; ;12;211,113613903876
3096347;1;1;1; ; ; ; ;12;193,112124676992
3096347;1;2;1; ; ; ; ;12;193,112124676992
3096347;1;3;1; ; ; ; ;12;193,112124676992
3096347;1;4;2;3;2;15;2;12;193,112124676992
3096348;1;1;2;6; ; ; ;12;194,952307506436
3096349;1;1;2;6; ; ; ;12;190,584008356025
3096349;1;2;2;6; ; ; ;12;190,584008356025
3096349;1;3;1; ; ; ; ;12;190,584008356025
3096349;1;4;1; ; ; ; ;12;190,584008356025
3096350;1;1;2;6; ; ; ;12;211,283162723372
3096350;1;2;2;6; ; ; ;12;211,283162723372
3096351;1;1;2;6; ; ; ;12;161,640818459686
3096351;1;2;1; ; ; ; ;12;161,640818459686
3096351;1;3;1; ; ; ; ;12;161,640818459686
3096351;1;4;1; ; ; ; ;12;161,640818459686
3096352;1;1;2;3;2;11;2;12;89,9722348473328
3096352;1;2;2;3;2;11;1;12;89,9722348473328
3096352;1;3;2;3;2;11;1;12;89,9722348473328
3096352;1;4;2;3;2;11;1;12;89,9722348473328
