Directorio;Secuencia_p;Orden;P6074;P756;P756S1;P756S3;P755;P755S1;P755S3;P754;P753;P753S1;P753S3;P752;P1662;Mes;Fex_c_2011
5105417;1;4;2;2;5; ;2; ; ;1;2; ; ;1; ;01;805,58777086893
5105417;1;5;2;2;5; ;2; ; ;1;2; ; ;1; ;01;805,58777086893
5105418;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;910,619785492299
5105418;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;01;910,619785492299
5105418;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;910,619785492299
5105419;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;01;995,175625670635
5105419;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;995,175625670635
5105419;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;995,175625670635
5105421;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;01;954,671300137372
5105421;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;01;954,671300137372
5105421;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;954,671300137372
5105422;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;01;1067,80976633514
5105422;1;2;1;2;5; ;2; ; ;1;2; ; ;1; ;01;1067,80976633514
5105423;1;1;2;2;70; ;2; ; ;1;2; ; ;1; ;01;1309,64413844723
5105423;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1309,64413844723
5105423;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1309,64413844723
5105424;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;01;1034,18433608513
5105424;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;01;1034,18433608513
5105424;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1034,18433608513
5105425;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1392,17841562404
5105425;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1392,17841562404
5105425;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1392,17841562404
5105425;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1392,17841562404
5105426;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1234,46248689844
5105426;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1234,46248689844
5105426;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1234,46248689844
5105426;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1234,46248689844
5105426;1;5;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1234,46248689844
5105426;1;6;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1234,46248689844
5105427;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;995,701573553396
5105427;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;995,701573553396
5105428;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1191,90026481073
5105429;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;01;910,619785492299
5105429;1;2;2;2;73; ;2; ; ;1;2; ; ;1; ;01;910,619785492299
5105429;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;910,619785492299
5105430;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1125,0990878761
5105430;1;2;2;1; ; ;2; ; ;1;4; ;11; ;1;01;1125,0990878761
5105430;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1125,0990878761
5105430;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1125,0990878761
5105430;1;5;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1125,0990878761
5105431;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;01;752,197586005496
5105431;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;752,197586005496
5105431;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;752,197586005496
5105431;2;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;752,197586005496
5105431;2;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;752,197586005496
5105432;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;01;890,669558930026
5105432;1;2;2;1; ; ;2; ; ;1;2; ; ;1; ;01;890,669558930026
5105432;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;890,669558930026
5105432;1;4;2;2;5; ;3;5; ;2;2; ; ;1; ;01;890,669558930026
5105433;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1106,81847674963
5105433;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1106,81847674963
5105434;1;1;2;2;70; ;3;5; ;1;2; ; ;1; ;01;1106,81847674963
5105434;1;2;2;2;5; ;3;5; ;1;2; ; ;1; ;01;1106,81847674963
5105436;1;1;2;2;66; ;2; ; ;1;2; ; ;1; ;01;1139,2163507085
5105437;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;954,671300137372
5105437;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;954,671300137372
5105437;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;954,671300137372
5105438;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1105,76658098411
5105438;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1105,76658098411
5105438;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1105,76658098411
5105438;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1105,76658098411
5105439;1;1;2;2;17; ;2; ; ;1;2; ; ;1; ;01;1048,38548765562
5105439;1;2;2;1; ; ;4; ;1; ;2; ; ;1; ;01;1048,38548765562
5105440;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;468,010535121394
5105441;1;1;2;2;13; ;2; ; ;1;2; ; ;1; ;01;477,534918369853
5105441;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;477,534918369853
5105442;1;1;2;2;8; ;2; ; ;1;2; ; ;1; ;01;514,581283961179
5105442;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;514,581283961179
5105442;1;3;2;2;8; ;2; ; ;1;2; ; ;1; ;01;514,581283961179
5105442;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;01;514,581283961179
5105443;1;1;2;1; ; ;2; ; ;1;2; ; ;1; ;01;709,732842690554
5105443;1;2;2;2;41; ;2; ; ;1;2; ; ;1; ;01;709,732842690554
5105443;1;3;2;2;8; ;2; ; ;1;2; ; ;1; ;01;709,732842690554
5105443;1;4;2;2;8; ;2; ; ;1;2; ; ;1; ;01;709,732842690554
5105443;1;5;2;2;8; ;2; ; ;1;2; ; ;1; ;01;709,732842690554
5105444;1;1;2;2;8; ;2; ; ;1;2; ; ;1; ;01;502,852715535242
5105444;1;2;2;2;8; ;2; ; ;1;2; ; ;1; ;01;502,852715535242
5105444;1;3;1;1; ; ;1; ; ; ;2; ; ;1; ;01;502,852715535242
5105445;1;1;2;2;8; ;3;8; ;1;2; ; ;1; ;01;640,335539916172
5105445;1;2;2;2;8; ;3;8; ;1;2; ; ;1; ;01;640,335539916172
5105446;1;1;2;2;23; ;2; ; ;1;2; ; ;1; ;01;675,226402135795
5105446;1;2;2;2;47; ;2; ; ;1;2; ; ;1; ;01;675,226402135795
5105446;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;675,226402135795
5105446;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;01;675,226402135795
5105447;1;1;2;2;8; ;2; ; ;1;2; ; ;1; ;01;640,673541753488
5105447;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;640,673541753488
5105447;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;640,673541753488
5105447;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;01;640,673541753488
5105447;1;5;1;1; ; ;2; ; ;1;2; ; ;1; ;01;640,673541753488
5105447;1;6;1;1; ; ;2; ; ;1;2; ; ;1; ;01;640,673541753488
5105447;1;7;1;1; ; ;1; ; ; ;2; ; ;1; ;01;640,673541753488
5105448;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;578,513847604475
5105449;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;637,838780475831
5105449;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;637,838780475831
5105449;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;637,838780475831
5105449;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;01;637,838780475831
5105449;1;5;1;1; ; ;2; ; ;1;2; ; ;1; ;01;637,838780475831
5105450;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;640,335539916172
5105450;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;640,335539916172
5105451;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;629,612101643148
5105451;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;629,612101643148
5105451;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;629,612101643148
5105452;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;541,785374158598
5105452;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;541,785374158598
5105453;1;1;2;2;23; ;2; ; ;1;2; ; ;1; ;01;527,676724061388
5105453;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;527,676724061388
5105454;1;1;2;1; ; ;3;8; ;1;2; ; ;1; ;01;559,803082944873
5105454;1;2;2;1; ; ;3;8; ;1;2; ; ;1; ;01;559,803082944873
5105454;1;3;2;2;8; ;3;8; ;1;2; ; ;1; ;01;559,803082944873
5105454;1;4;2;1; ; ;3;8; ;1;2; ; ;1; ;01;559,803082944873
5105455;1;1;2;2;8; ;2; ; ;1;2; ; ;1; ;01;555,837262605944
5105455;2;1;2;2;47; ;2; ; ;1;2; ; ;1; ;01;555,837262605944
5105456;1;1;2;2;20; ;2; ; ;1;2; ; ;1; ;01;541,736692352823
5105456;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;541,736692352823
5105457;1;1;2;2;13; ;2; ; ;1;2; ; ;1; ;01;415,105073113352
5105458;1;1;2;2;23; ;2; ; ;1;2; ; ;1; ;01;355,902260187451
5105458;1;2;2;2;70; ;2; ; ;1;2; ; ;1; ;01;355,902260187451
5105458;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;355,902260187451
5105458;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;01;355,902260187451
5105459;1;1;2;2;23; ;2; ; ;1;2; ; ;1; ;01;388,316966459439
5105459;1;2;2;2;27; ;2; ; ;1;2; ; ;1; ;01;388,316966459439
5105459;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;388,316966459439
5105460;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;402,868080798227
5105460;1;2;1;1; ; ;1; ; ; ;2; ; ;1; ;01;402,868080798227
5105461;1;1;2;2;13; ;2; ; ;1;2; ; ;1; ;01;421,497168397804
5105461;1;2;2;2;13; ;2; ; ;1;2; ; ;1; ;01;421,497168397804
5105461;1;3;1;1; ; ;1; ; ; ;2; ; ;1; ;01;421,497168397804
5105462;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;369,239017171701
5105463;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;319,891954025625
5105463;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;319,891954025625
5105463;1;3;1;1; ; ;1; ; ; ;1; ; ; ; ;01;319,891954025625
5105464;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;357,951681961147
5105464;1;2;2;2;23; ;2; ; ;1;2; ; ;1; ;01;357,951681961147
5105464;1;3;2;2;23; ;3;23; ;1;3;23; ;1; ;01;357,951681961147
5105465;1;1;2;2;23; ;2; ; ;1;2; ; ;1; ;01;356,884983930018
5105465;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;356,884983930018
5105466;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;398,172716239264
5105466;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;398,172716239264
5105467;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;351,607557782598
5105467;1;2;2;1; ; ;2; ; ;1;2; ; ;1; ;01;351,607557782598
5105467;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;351,607557782598
5105468;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;390,366388233135
5105468;1;2;2;2;20; ;2; ; ;1;2; ; ;1; ;01;390,366388233135
5105469;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;385,818682997582
5105469;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;385,818682997582
5105469;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;385,818682997582
5105470;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;162,757690805125
5105470;1;2;2;2;15; ;2; ; ;1;2; ; ;1; ;01;162,757690805125
5105470;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;162,757690805125
5105470;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;01;162,757690805125
5105471;1;1;2;2;15; ;2; ; ;1;2; ; ;1; ;01;149,790544793874
5105471;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;149,790544793874
5105471;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;149,790544793874
5105472;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;64,2080078125012
5105472;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;64,2080078125012
5105472;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;64,2080078125012
5105472;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;01;64,2080078125012
5105472;1;5;2;2;11; ;2; ; ;1;2; ; ;1; ;01;64,2080078125012
5105472;1;6;1;1; ; ;2; ; ;1;2; ; ;1; ;01;64,2080078125012
5105472;1;7;1;1; ; ;2; ; ;1;2; ; ;1; ;01;64,2080078125012
5105472;1;8;1;1; ; ;2; ; ;1;2; ; ;1; ;01;64,2080078125012
5105472;1;9;1;1; ; ;2; ; ;1;2; ; ;1; ;01;64,2080078125012
5105472;1;10;1;1; ; ;2; ; ;1;2; ; ;1; ;01;64,2080078125012
5105472;1;11;1;1; ; ;2; ; ;1;2; ; ;1; ;01;64,2080078125012
5105472;1;12;1;1; ; ;2; ; ;1;2; ; ;1; ;01;64,2080078125012
5105472;1;13;1;1; ; ;2; ; ;1;2; ; ;1; ;01;64,2080078125012
5105472;1;14;1;1; ; ;2; ; ;1;2; ; ;1; ;01;64,2080078125012
5105473;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;170,321412922752
5105473;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;170,321412922752
5105473;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;170,321412922752
5105473;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;01;170,321412922752
5105474;1;1;2;2;11; ;2; ; ;1;2; ; ;1; ;01;100,086291979492
5105474;1;2;2;2;11; ;2; ; ;1;2; ; ;1; ;01;100,086291979492
5105474;1;3;2;2;11; ;2; ; ;1;2; ; ;1; ;01;100,086291979492
5105474;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;01;100,086291979492
5105474;1;5;2;2;11; ;2; ; ;1;2; ; ;1; ;01;100,086291979492
5105474;1;6;2;2;11; ;2; ; ;1;2; ; ;1; ;01;100,086291979492
5105475;1;1;2;2;47; ;2; ; ;1;2; ; ;1; ;01;88,5766843351605
5105475;1;2;2;2;47; ;2; ; ;1;2; ; ;1; ;01;88,5766843351605
5105475;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;88,5766843351605
5105476;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;125,886812719553
5105476;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;125,886812719553
5105476;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;125,886812719553
5105477;1;1;2;2;15; ;2; ; ;1;2; ; ;1; ;01;113,412026844511
5105477;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;113,412026844511
5105477;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;113,412026844511
5105478;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;64,2080078125012
5105478;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;64,2080078125012
5105478;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;64,2080078125012
5105478;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;01;64,2080078125012
5105478;1;5;1;1; ; ;2; ; ;1;2; ; ;1; ;01;64,2080078125012
5105478;1;6;1;1; ; ;2; ; ;1;2; ; ;1; ;01;64,2080078125012
5105479;1;1;2;2;15; ;2; ; ;1;2; ; ;1; ;01;109,840828174654
5105480;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;188,323727631235
5105480;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;188,323727631235
5105480;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;188,323727631235
5105480;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;01;188,323727631235
5105480;1;5;1;1; ; ;2; ; ;1;2; ; ;1; ;01;188,323727631235
5105481;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;118,627604745249
5105481;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;118,627604745249
5105481;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;118,627604745249
5105482;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;155,193968687498
5105482;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;155,193968687498
5105482;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;155,193968687498
5105482;1;4;1;1; ; ;1; ; ; ;1; ; ; ; ;01;155,193968687498
5105483;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;168,904879140893
5105483;1;2;2;2;15; ;2; ; ;1;2; ; ;1; ;01;168,904879140893
5105483;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;168,904879140893
5105483;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;01;168,904879140893
5105484;1;1;2;2;15; ;2; ; ;1;2; ; ;1; ;01;155,971607814233
5105484;1;2;2;2;68; ;2; ; ;1;2; ; ;1; ;01;155,971607814233
5105484;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;155,971607814233
5105484;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;01;155,971607814233
5105484;1;5;1;1; ; ;2; ; ;1;2; ; ;1; ;01;155,971607814233
