Directorio;Secuencia_p;Orden;P6074;P756;P756S1;P756S3;P755;P755S1;P755S3;P754;P753;P753S1;P753S3;P752;P1662;Mes;Fex_c_2011
5105378;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;995,701573553396
5105378;1;2;2;1; ; ;2; ; ;1;2; ; ;1; ;01;995,701573553396
5105379;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;910,619785492299
5105379;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;910,619785492299
5105379;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;910,619785492299
5105380;1;1;2;1; ; ;2; ; ;1;2; ; ;1; ;01;968,872451707863
5105380;1;2;2;3; ;2;2; ; ;1;2; ; ;1; ;01;968,872451707863
5105381;1;1;2;2;8; ;2; ; ;1;2; ; ;1; ;01;995,701573553396
5105381;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;995,701573553396
5105382;1;1;1;2;5; ;2; ; ;1;2; ; ;1; ;01;1053,60861476464
5105382;1;2;1;2;5; ;2; ; ;1;2; ; ;1; ;01;1053,60861476464
5105382;1;3;1;2;5; ;2; ; ;1;2; ; ;1; ;01;1053,60861476464
5105383;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1191,90026481073
5105384;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1033,65838820237
5105384;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1033,65838820237
5105384;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1033,65838820237
5105384;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1033,65838820237
5105385;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1106,81847674963
5105385;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;01;1106,81847674963
5105386;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;01;968,872451707863
5105386;1;2;2;1; ; ;2; ; ;1;2; ; ;1; ;01;968,872451707863
5105387;1;1;2;2;5; ;3;5; ;2;2; ; ;1; ;01;1561,17684120514
5105387;1;2;2;2;47; ;3;5; ;2;2; ; ;1; ;01;1561,17684120514
5105387;1;3;2;2;5; ;3;5; ;2;2; ; ;1; ;01;1561,17684120514
5105387;1;4;1;2;5; ;1; ; ; ;1; ; ; ; ;01;1561,17684120514
5105388;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1021,73668868854
5105388;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1021,73668868854
5105388;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1021,73668868854
5105389;1;1;2;2;5; ;3;5; ;1;3;5; ;1; ;01;1191,37431692797
5105389;1;2;2;2;5; ;3;5; ;1;3;5; ;1; ;01;1191,37431692797
5105390;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;01;995,701573553396
5105390;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;01;995,701573553396
5105391;1;1;2;2;19; ;2; ; ;1;2; ; ;1; ;01;949,102548024036
5105391;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;01;949,102548024036
5105391;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;949,102548024036
5105391;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;01;949,102548024036
5105392;1;1;2;2;11; ;2; ; ;1;2; ; ;1; ;01;1718,82086036183
5105392;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1718,82086036183
5105392;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1718,82086036183
5105392;1;4;1;1; ; ;1; ; ; ;2; ; ;1; ;01;1718,82086036183
5105393;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1072,66709861687
5105393;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1072,66709861687
5105393;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1072,66709861687
5105393;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1072,66709861687
5105395;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1009,90272512389
5105396;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;01;866,387947968781
5105396;1;2;1;2;5; ;2; ; ;1;2; ; ;1; ;01;866,387947968781
5105398;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;01;1086,3423023046
5105398;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1086,3423023046
5105398;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1086,3423023046
5105398;1;4;2;2;5; ;2; ; ;1;2; ; ;1; ;01;1086,3423023046
5105399;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;01;954,671300137372
5105399;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;01;954,671300137372
5105399;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;954,671300137372
5105400;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;01;766,924685458748
5105400;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;01;766,924685458748
5105400;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;766,924685458748
5105401;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1491,64167813407
5105401;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;01;1491,64167813407
5105401;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1491,64167813407
5105402;1;1;2;2;8; ;3;13; ;1;2; ; ;1; ;01;1007,3552142396
5105402;1;2;2;2;68; ;3;8; ;1;3;5; ;1; ;01;1007,3552142396
5105402;1;3;2;2;8; ;3;8; ;1;2; ; ;1; ;01;1007,3552142396
5105403;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;01;2061,83560800013
5105403;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;01;2061,83560800013
5105403;1;3;1;2;5; ;2; ; ;1;2; ; ;1; ;01;2061,83560800013
5105403;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;01;2061,83560800013
5105403;1;5;1;1; ; ;2; ; ;1;2; ; ;1; ;01;2061,83560800013
5105403;1;6;1;1; ; ;2; ; ;1;2; ; ;1; ;01;2061,83560800013
5105403;1;7;1;1; ; ;1; ; ; ;2; ; ;1; ;01;2061,83560800013
5105403;1;8;1;1; ; ;2; ; ;1;2; ; ;1; ;01;2061,83560800013
5105404;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;01;1666,1369462596
5105404;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;01;1666,1369462596
5105404;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1666,1369462596
5105404;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1666,1369462596
5105405;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;01;811,156522982266
5105405;1;2;2;1; ; ;2; ; ;1;2; ; ;1; ;01;811,156522982266
5105405;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;811,156522982266
5105405;1;4;2;2;5; ;2; ; ;1;2; ; ;1; ;01;811,156522982266
5105406;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;01;1009,90272512389
5105407;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;01;968,346503825103
5105407;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;01;968,346503825103
5105407;1;3;2;2;5; ;2; ; ;1;2; ; ;1; ;01;968,346503825103
5105409;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1106,29252886687
5105409;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1106,29252886687
5105409;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1106,29252886687
5105410;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;968,346503825103
5105410;1;2;1;2;5; ;2; ; ;1;2; ; ;1; ;01;968,346503825103
5105410;1;3;1;2;5; ;2; ; ;1;2; ; ;1; ;01;968,346503825103
5105412;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;01;1491,64167813407
5105412;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1491,64167813407
5105412;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1491,64167813407
5105413;1;1;2;2;5; ;3;5; ;2;2; ; ;1; ;01;1067,80976633514
5105413;1;2;2;1; ; ;3;5; ;2;2; ; ;1; ;01;1067,80976633514
5105414;1;1;2;1; ; ;2; ; ;1;2; ; ;1; ;01;1139,2163507085
5105415;1;1;2;2;17; ;2; ; ;1;2; ; ;1; ;01;1034,18433608513
5105415;1;2;2;2;17; ;2; ; ;1;2; ; ;1; ;01;1034,18433608513
5105415;1;3;2;2;17; ;2; ; ;1;2; ; ;1; ;01;1034,18433608513
5105416;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;01;1034,18433608513
5105416;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1034,18433608513
5105416;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;1034,18433608513
5105417;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;01;805,58777086893
5105417;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;01;805,58777086893
5105417;1;3;2;2;5; ;2; ; ;1;2; ; ;1; ;01;805,58777086893
