DIRECTORIO;SECUENCIA_P;ORDEN;P6074;P6075;P6076;P6076S1;P6095;mes;fex_c_2011
2969387;1;1;1; ; ; ; ;06;139,397534143207
2969387;1;2;1; ; ; ; ;06;139,397534143207
2969387;1;3;2;1;2;68;1;06;139,397534143207
2969388;1;1;1; ; ; ; ;06;130,382035934516
2969388;1;2;1; ; ; ; ;06;130,382035934516
2969389;1;1;2;6; ; ; ;06;183,119163394211
2969389;1;2;1; ; ; ; ;06;183,119163394211
2969389;1;3;1; ; ; ; ;06;183,119163394211
2969390;1;1;2;6; ; ; ;06;80,8184351095111
2969390;1;2;2;6; ; ; ;06;80,8184351095111
2969391;1;1;2;6; ; ; ;06;80,8184351095111
2969391;1;2;2;6; ; ; ;06;80,8184351095111
2969392;1;1;2;3;2;63;1;06;180,223384881728
2969392;1;2;2;3;2;63;1;06;180,223384881728
2969392;1;3;2;3;2;63;1;06;180,223384881728
2969393;1;1;2;6; ; ; ;06;180,223384881728
2969393;1;2;2;6; ; ; ;06;180,223384881728
2969393;1;3;1; ; ; ; ;06;180,223384881728
2969393;1;4;1; ; ; ; ;06;180,223384881728
2969394;1;1;2;4;2;41;1;06;143,212835144967
2969394;1;2;2;4;2;41;1;06;143,212835144967
2969394;1;3;2;4;2;41;1;06;143,212835144967
2969395;1;1;2;6; ; ; ;06;130,382035934516
2969395;1;2;2;6; ; ; ;06;130,382035934516
2969397;1;1;2;4;2;73;1;06;231,665037459272
2969397;1;2;2;5;2;73;1;06;231,665037459272
2969398;1;1;2;6; ; ; ;06;235,535506470169
2969398;1;2;1; ; ; ; ;06;235,535506470169
2969399;1;1;1; ; ; ; ;06;301,312007374586
2969399;1;2;1; ; ; ; ;06;301,312007374586
2969399;2;1;1; ; ; ; ;06;301,312007374586
2969399;2;2;1; ; ; ; ;06;301,312007374586
2969399;2;3;1; ; ; ; ;06;301,312007374586
2969400;1;1;2;6; ; ; ;06;175,771861820795
2969401;1;1;1; ; ; ; ;06;370,091184698319
2969401;1;2;1; ; ; ; ;06;370,091184698319
2969401;1;3;2;6; ; ; ;06;370,091184698319
2969402;1;1;1; ; ; ; ;06;288,693818356267
2969403;1;1;1; ; ; ; ;06;175,771861820795
2969404;1;1;2;6; ; ; ;06;235,535506470169
2969404;1;2;2;6; ; ; ;06;235,535506470169
2969405;1;1;2;6; ; ; ;06;220,979775887375
2969405;1;2;2;6; ; ; ;06;220,979775887375
2969405;1;3;1; ; ; ; ;06;220,979775887375
2969406;1;1;1; ; ; ; ;06;244,283226477592
2969406;1;2;1; ; ; ; ;06;244,283226477592
2969406;1;3;1; ; ; ; ;06;244,283226477592
2969406;1;6;1; ; ; ; ;06;244,283226477592
2969406;1;7;2;6; ; ; ;06;244,283226477592
2969406;1;8;1; ; ; ; ;06;244,283226477592
2969407;1;1;2;6; ; ; ;06;265,924491405072
2969407;1;2;2;6; ; ; ;06;265,924491405072
2969408;1;1;2;6; ; ; ;06;210,031315766594
2969410;1;1;1; ; ; ; ;06;210,031315766594
2969411;1;1;1; ; ; ; ;06;201,27605252437
2969411;1;2;2;6; ; ; ;06;201,27605252437
2969412;1;1;2;3;2;66;1;06;258,304833421365
2969413;1;1;2;5;2;11;1;06;175,771861820795
2969414;1;1;1; ; ; ; ;06;332,883568239243
2969414;1;2;1; ; ; ; ;06;332,883568239243
2969414;1;3;1; ; ; ; ;06;332,883568239243
2969414;1;4;1; ; ; ; ;06;332,883568239243
2969414;2;1;1; ; ; ; ;06;332,883568239243
2969414;2;2;1; ; ; ; ;06;332,883568239243
2969414;2;3;1; ; ; ; ;06;332,883568239243
2969414;2;4;1; ; ; ; ;06;332,883568239243
2969414;3;1;1; ; ; ; ;06;332,883568239243
2969414;3;2;1; ; ; ; ;06;332,883568239243
2969414;3;3;1; ; ; ; ;06;332,883568239243
2969415;1;1;1; ; ; ; ;06;178,506725573175
2969415;1;2;2;6; ; ; ;06;178,506725573175
2969415;1;3;1; ; ; ; ;06;178,506725573175
2969417;1;1;2;2;1; ; ;06;283,988548986512
2969417;1;2;1; ; ; ; ;06;283,988548986512
2969418;1;1;1; ; ; ; ;06;80,8184351095111
2969418;1;2;1; ; ; ; ;06;80,8184351095111
2969419;1;1;2;6; ; ; ;06;127,143521217396
2969419;1;2;1; ; ; ; ;06;127,143521217396
2969419;1;3;1; ; ; ; ;06;127,143521217396
2969419;1;4;1; ; ; ; ;06;127,143521217396
2969420;1;1;1; ; ; ; ;06;149,837079681793
2969420;1;2;1; ; ; ; ;06;149,837079681793
2969420;1;3;1; ; ; ; ;06;149,837079681793
2969420;1;4;1; ; ; ; ;06;149,837079681793
2969420;1;5;1; ; ; ; ;06;149,837079681793
2969421;1;1;1; ; ; ; ;06;160,623701158857
2969421;1;2;1; ; ; ; ;06;160,623701158857
2969421;1;3;1; ; ; ; ;06;160,623701158857
2969421;1;4;1; ; ; ; ;06;160,623701158857
2969421;1;5;1; ; ; ; ;06;160,623701158857
2969421;1;6;1; ; ; ; ;06;160,623701158857
2969421;1;7;1; ; ; ; ;06;160,623701158857
2969421;1;8;1; ; ; ; ;06;160,623701158857
2969421;1;9;1; ; ; ; ;06;160,623701158857
2969422;1;1;2;6; ; ; ;06;222,746490904518
2969422;1;2;2;6; ; ; ;06;222,746490904518
2969422;1;3;1; ; ; ; ;06;222,746490904518
2969422;1;4;2;6; ; ; ;06;222,746490904518
2969422;1;5;1; ; ; ; ;06;222,746490904518
2969423;1;1;1; ; ; ; ;06;302,54548072777
2969423;1;2;1; ; ; ; ;06;302,54548072777
2969423;1;3;1; ; ; ; ;06;302,54548072777
2969423;1;4;1; ; ; ; ;06;302,54548072777
2969424;1;1;1; ; ; ; ;06;107,00288823006
2969424;1;2;1; ; ; ; ;06;107,00288823006
2969424;1;3;2;6; ; ; ;06;107,00288823006
2969424;1;4;1; ; ; ; ;06;107,00288823006
2969424;1;5;1; ; ; ; ;06;107,00288823006
2969425;1;1;1; ; ; ; ;06;171,207886673037
2969425;1;2;1; ; ; ; ;06;171,207886673037
2969425;1;3;1; ; ; ; ;06;171,207886673037
2969426;1;1;1; ; ; ; ;06;141,994274493256
2969426;1;2;2;6; ; ; ;06;141,994274493256
2969427;1;1;1; ; ; ; ;06;89,8339333182019
2969427;1;2;1; ; ; ; ;06;89,8339333182019
2969427;1;3;1; ; ; ; ;06;89,8339333182019
2969428;1;1;1; ; ; ; ;06;140,522543310668
2969428;1;2;1; ; ; ; ;06;140,522543310668
2969428;1;4;1; ; ; ; ;06;140,522543310668
2969429;1;1;1; ; ; ; ;06;100,584130371419
2969429;1;2;1; ; ; ; ;06;100,584130371419
2969429;1;3;1; ; ; ; ;06;100,584130371419
2969430;1;1;2;6; ; ; ;06;64,9691161967662
2969430;1;2;2;6; ; ; ;06;64,9691161967662
2969430;1;3;1; ; ; ; ;06;64,9691161967662
2969431;1;1;1; ; ; ; ;06;89,6748007097416
2969431;1;2;1; ; ; ; ;06;89,6748007097416
2969431;1;3;1; ; ; ; ;06;89,6748007097416
2969432;1;1;2;6; ; ; ;06;62,7664697942819
2969432;1;2;2;6; ; ; ;06;62,7664697942819
2969432;1;3;1; ; ; ; ;06;62,7664697942819
2969432;1;4;1; ; ; ; ;06;62,7664697942819
2969433;1;1;1; ; ; ; ;06;81,0709788588992
2969433;1;2;1; ; ; ; ;06;81,0709788588992
2969433;1;3;1; ; ; ; ;06;81,0709788588992
2969434;1;1;2;6; ; ; ;06;84,9727719399067
2969434;1;2;1; ; ; ; ;06;84,9727719399067
2969435;1;1;1; ; ; ; ;06;74,7668260859186
2969435;1;2;1; ; ; ; ;06;74,7668260859186
2969435;1;3;1; ; ; ; ;06;74,7668260859186
2969435;1;4;1; ; ; ; ;06;74,7668260859186
2969436;1;1;1; ; ; ; ;06;69,8753545343621
2969437;1;1;2;5;2;18;2;06;76,2206352520118
2969437;1;2;2;5;2;18;2;06;76,2206352520118
2969437;1;3;2;5;2;18;2;06;76,2206352520118
2969437;1;4;2;5;2;18;2;06;76,2206352520118
2969438;1;1;2;6; ; ; ;06;49,9687214665992
2969438;1;2;1; ; ; ; ;06;49,9687214665992
2969438;1;3;1; ; ; ; ;06;49,9687214665992
2969439;1;1;2;6; ; ; ;06;86,3097486454068
2969440;1;1;2;3;2;18;1;06;55,9365187042825
2969440;1;2;2;5;2;18;2;06;55,9365187042825
2969441;1;1;2;6; ; ; ;06;55,9365187042825
2969441;1;2;2;6; ; ; ;06;55,9365187042825
2969442;1;1;1; ; ; ; ;06;87,3686852104982
2969442;1;2;2;6; ; ; ;06;87,3686852104982
2969442;1;3;1; ; ; ; ;06;87,3686852104982
2969442;1;4;1; ; ; ; ;06;87,3686852104982
2969442;1;5;1; ; ; ; ;06;87,3686852104982
2969443;1;1;2;6; ; ; ;06;89,3033406625555
2969443;1;2;1; ; ; ; ;06;89,3033406625555
2969443;1;3;1; ; ; ; ;06;89,3033406625555
2969444;1;1;2;6; ; ; ;06;78,8816958202488
2969444;1;2;2;6; ; ; ;06;78,8816958202488
2969444;1;3;2;6; ; ; ;06;78,8816958202488
2969444;1;4;1; ; ; ; ;06;78,8816958202488
2969444;1;5;1; ; ; ; ;06;78,8816958202488
2969444;1;6;1; ; ; ; ;06;78,8816958202488
2969445;1;1;1; ; ; ; ;06;66,6494638732887
2969446;1;1;2;6; ; ; ;06;62,240671477263
2969447;1;1;2;2;2;19;2;06;81,1878113194922
2969447;1;2;2;2;2;19;2;06;81,1878113194922
2969447;1;3;2;2;2;19;2;06;81,1878113194922
2969447;1;4;2;2;2;19;2;06;81,1878113194922
2969448;1;1;2;6; ; ; ;06;53,7536820870137
2969448;1;2;1; ; ; ; ;06;53,7536820870137
2969449;1;1;2;6; ; ; ;06;71,5384162673923
2969449;1;2;2;6; ; ; ;06;71,5384162673923
2969450;1;1;2;6; ; ; ;06;76,2206352520118
2969450;1;2;2;6; ; ; ;06;76,2206352520118
2969450;1;3;1; ; ; ; ;06;76,2206352520118
2969529;1;1;1; ; ; ; ;06;149,931043280857
2969529;1;2;1; ; ; ; ;06;149,931043280857
2969529;1;3;1; ; ; ; ;06;149,931043280857
2969530;1;1;2;6; ; ; ;06;130,031281064727
2969530;1;2;1; ; ; ; ;06;130,031281064727
2969531;1;1;2;6; ; ; ;06;154,022956638794
2969531;1;2;1; ; ; ; ;06;154,022956638794
2969540;1;1;2;4;2;11;1;06;149,672704679135
2969540;1;2;2;4;2;11;1;06;149,672704679135
2969540;1;3;1; ; ; ; ;06;149,672704679135
2969541;1;1;1; ; ; ; ;06;188,472345602087
2969541;1;2;2;6; ; ; ;06;188,472345602087
2969541;1;3;1; ; ; ; ;06;188,472345602087
2969542;1;1;1; ; ; ; ;06;149,672704679135
2969542;1;2;1; ; ; ; ;06;149,672704679135
2969542;1;3;1; ; ; ; ;06;149,672704679135
2969543;1;1;1; ; ; ; ;06;280,149110469897
2969543;1;2;1; ; ; ; ;06;280,149110469897
2969543;1;3;1; ; ; ; ;06;280,149110469897
2969545;1;1;2;6; ; ; ;06;138,188015262224
2969545;1;2;2;6; ; ; ;06;138,188015262224
2969546;1;1;1; ; ; ; ;06;118,759507127068
2969546;1;2;1; ; ; ; ;06;118,759507127068
2969546;1;3;2;1;2;11;1;06;118,759507127068
2969546;1;4;2;6; ; ; ;06;118,759507127068
2969546;1;5;1; ; ; ; ;06;118,759507127068
2969546;1;6;1; ; ; ; ;06;118,759507127068
2969547;1;1;1; ; ; ; ;06;190,570891153235
2969547;1;2;1; ; ; ; ;06;190,570891153235
2969548;1;1;1; ; ; ; ;06;188,18851515175
2969548;1;2;1; ; ; ; ;06;188,18851515175
2969548;1;3;1; ; ; ; ;06;188,18851515175
2969549;1;1;2;6; ; ; ;06;173,462131354563
2969549;1;2;2;4;2;05;2;06;173,462131354563
2969549;1;3;2;4;2;05;2;06;173,462131354563
2969549;1;4;2;4;2;05;2;06;173,462131354563
2969549;1;5;2;2;2;05;2;06;173,462131354563
2969549;1;6;2;3;2;52;2;06;173,462131354563
2969549;1;7;2;1;2;52;2;06;173,462131354563
2969550;1;1;2;1;2;52;2;06;169,601429019527
2969551;1;1;1; ; ; ; ;06;154,153626231768
2969552;1;1;2;6; ; ; ;06;191,359754839245
2969552;1;2;2;6; ; ; ;06;191,359754839245
2969552;1;3;2;6; ; ; ;06;191,359754839245
2969552;1;4;1; ; ; ; ;06;191,359754839245
2969553;1;1;2;6; ; ; ;06;204,437956571631
2969553;1;2;2;6; ; ; ;06;204,437956571631
2969554;1;1;1; ; ; ; ;06;164,670143980547
2969554;1;2;1; ; ; ; ;06;164,670143980547
2969555;1;1;1; ; ; ; ;06;199,13089056009
2969555;1;2;1; ; ; ; ;06;199,13089056009
2969555;1;3;1; ; ; ; ;06;199,13089056009
2969555;1;4;1; ; ; ; ;06;199,13089056009
2969556;1;1;2;6; ; ; ;06;177,955827853308
2969556;1;2;1; ; ; ; ;06;177,955827853308
2969557;1;1;2;6; ; ; ;06;212,263762041801
2969557;1;2;2;6; ; ; ;06;212,263762041801
2969557;1;3;1; ; ; ; ;06;212,263762041801
2969558;1;1;1; ; ; ; ;06;190,570891153235
2969558;1;2;1; ; ; ; ;06;190,570891153235
2969559;1;1;2;6; ; ; ;06;169,601429019527
2969560;1;1;1; ; ; ; ;06;147,29032867765
2969560;1;2;2;6; ; ; ;06;147,29032867765
2969560;1;3;1; ; ; ; ;06;147,29032867765
2969560;1;4;1; ; ; ; ;06;147,29032867765
2969562;1;1;1; ; ; ; ;06;272,472443402982
2969562;1;2;2;6; ; ; ;06;272,472443402982
2969562;1;3;1; ; ; ; ;06;272,472443402982
2969563;1;1;1; ; ; ; ;06;147,29032867765
2969563;1;2;1; ; ; ; ;06;147,29032867765
2969563;1;3;1; ; ; ; ;06;147,29032867765
2969563;1;4;1; ; ; ; ;06;147,29032867765
2969564;1;1;1; ; ; ; ;06;178,752048642433
2969564;1;2;1; ; ; ; ;06;178,752048642433
2969564;1;3;1; ; ; ; ;06;178,752048642433
2969565;1;1;1; ; ; ; ;06;219,544570357975
2969565;1;2;2;6; ; ; ;06;219,544570357975
2969565;1;3;1; ; ; ; ;06;219,544570357975
2969565;1;4;1; ; ; ; ;06;219,544570357975
